"1","Financial Year","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       Other","31-03-2020       Other","31-05-2020       Other","31-08-2020       1","30-11-2020       2","28-02-2021       3","31-05-2021       4"
"2","Sales/Revenue","25,638.57","29,538.91","5,843.04","2,239.96","813.17","710.01","886.51","22,986.15","479.49","491.48"
"3","Pretax Income","5,419.96","6,210.39","1,943.52","1,241.16","(212.12)","(3,627.09)","25,195.50","(45,243.33)","(13,427.85)","(65,196.64)"
"4","Net Income","3,815.76","4,408.05","1,192.23","677.19","(467.08)","(3,454.69)","25,035.52","(45,239.27)","(13,423.60)","(65,193.38)"
"5","Cash & Short-Term Investments","81,915.61","86,576.42","84,345.55","85,868.07","87,787.20","63,853.46","50,302.54","53,620.01","74,051.96","76,656.93"
"6","Cash Only","81,885.23","86,545.16","84,314.25","85,836.73","87,755.82","63,821.19","50,270.24","53,587.69","74,019.61","76,624.49"
"7","Total Accounts Receivables","19,233.41","15,257.37","6,802.20","2,234.84","4,578.32","68,183.50","67,209.41","8,691.19","15,109.24","7,212.58"
"8","Net Property, Plant & Equipment","159.81","157.09","277.75","254.83","300.09","290.34","264.39","248.82","236.98","237.58"
"9","Accrued Payable","10,315.52","7,018.86","4,208.43","803.06","2,910.06","3,710.75","3,045.85","648.52","585.88","559.33"
"10","Short Term Debt","-","-","113.08","112.71","19.99","47.59","43.27","36.58","32.18","25.82"
"11","Long Term Debt","-","-","-","-","89.66","86.52","79.32","74.23","66.61","60.70"
"12","Net Operating Cash Flow","(5,563.66)","4,896.08","5,406.53","1,174.51","4,445.15","(59,835.44)","(922.36)","3,853.03","(9,094.13)","6,854.43"
"13","Capital Expenditures","(3.06)","(16.58)","(149.41)","(1.75)","(229.59)","(246.89)","(1.00)","(11.08)","(16.35)","(29.56)"
"14","Total Shares Outstanding (million)","2,102,118.00","2,102,118.00","2,102,118.00","2,102,118.00","2,102,118.00","2,354,450.00","3,023,013.00","3,783,316.80","4,893,380.10","199,515.20"
