"1","Financial Year","31-03-2018       3","30-06-2018       4","30-09-2018       1","31-12-2018       2","31-03-2019       3","30-06-2019       4","30-09-2019       Other","30-11-2019       Other","29-02-2020       1","31-05-2020       2"
"2","Sales/Revenue","3,703.00","3,483.07","4,957.00","4,081.00","422.00","242.00","258.00","33.00","3,662.00","3,151.00"
"3","Pretax Income","(6,736.00)","(3,786.00)","(738.00)","(6,792.00)","(3,514.00)","(8,042.00)","(3,013.00)","(7,400.00)","(4,915.00)","4,024.00"
"4","Net Income","(6,040.00)","(3,413.76)","(827.00)","(6,623.00)","(3,265.00)","(7,603.00)","(2,750.00)","(7,084.00)","(4,405.00)","3,681.00"
"5","Cash & Short-Term Investments","44,138.00","43,431.22","36,681.00","33,937.00","35,382.00","34,849.00","35,250.00","34,653.00","35,236.00","42,520.00"
"6","Cash Only","21,822.00","37,754.15","36,681.00","33,937.00","35,382.00","34,849.00","35,250.00","34,653.00","35,236.00","42,520.00"
"7","Total Accounts Receivables","28,562.00","30,271.77","40,364.00","35,211.00","31,641.00","18,329.00","15,061.00","8,262.00","4,998.00","6,693.00"
"8","Inventories","300.00","42.09","52.00","60.00","62.00","64.00","66.00","16.00","17.00","17.00"
"9","Net Property, Plant & Equipment","6,407.00","6,401.66","6,323.00","6,267.00","6,884.00","6,815.00","10,757.00","10,568.00","13,902.00","13,675.00"
"10","Short Term Debt","320.00","324.75","329.00","334.00","339.00","343.00","348.00","277.00","334.00","329.00"
"11","Long Term Debt","2,327.00","2,248.72","2,169.00","2,088.00","2,006.00","1,922.00","1,837.00","1,831.00","1,698.00","1,668.00"
"12","Net Operating Cash Flow","6,023.00","(7,652.38)","(7,132.00)","(2,050.00)","2,898.00","4,733.00","5,624.00","683.00","(2,078.00)","(2,105.00)"
"13","Capital Expenditures","(11,548.00)","590.24","(107.00)","(3,487.00)","(855.00)","(5,086.00)","(11,945.00)","(9,591.00)","(2,164.00)","(136.00)"
"14","Total Shares Outstanding (million)","2,439,983.62","2,683,981.62","2,683,981.62","2,800,298.52","2,800,298.52","2,800,298.52","3,272,298.52","3,640,388.02","3,790,388.02","4,598,911.32"
