"1","Financial Year","29-02-2008","28-02-2009","28-02-2010","28-02-2011","31-08-2012","28-02-2013","31-08-2013","31-08-2014","31-08-2015","31-08-2016","31-03-2018  TTM"
"2","Sales/Revenue","15,049.00","5,831.00","9,860.00","8,274.00","734.00","734.00","392.00","194.00","130.00","74.00","112,637.00"
"3","Pretax Income","7,249.00","(7,616.00)","(3,127.00)","(33,078.00)","(31,496.82)","(31,496.82)","(6,521.00)","(2,339.00)","(1,679.00)","(1,754.00)","16,053.00"
"4","Equity in Earnings of Affiliates","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"5","Consolidated Net Income","7,059.00","(7,679.00)","(2,890.00)","(33,078.00)","(31,496.82)","(31,496.82)","(6,521.00)","(2,346.00)","(1,679.00)","(1,754.00)","10,865.00"
"6","Cash & Short Term Investments","3,363.00","531.00","4,243.00","549.00","105.00","105.00","26.00","18.00","21.00","7.00","7.00"
"7","Cash Only","0.00","0.00","547.00","549.00","105.00","105.00","26.00","18.00","21.00","7.00","7.00"
"8","Total Accounts Receivable","4,188.00","1,680.00","729.00","453.00","199.00","199.00","90.00","15.00","8.00","8.00","8.00"
"9","Inventories","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10","Net Property, Plant & Equipment","32,118.00","28,976.00","32,397.00","28,432.00","2,499.00","2,499.00","1,577.00","979.00","552.00","478.00","478.00"
"11","Short-Term Debt (incl. Current Portion of LTD)","41.00","1,633.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"12","Accounts Payable","24.00","24.00","40.00","60.00","20.00","20.00","83.00","68.00","82.00","0.00","0.00"
"13","Long Term Debt","23.00","226.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"14","Accumulated Minority Interest - Total","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15","Net Operating Cash Flow","10,382.00","1,272.00","4,811.00","3,562.00","(7,784.00)","(7,784.00)","(728.00)","(415.00)","28.00","(14.00)","6,706.08"
"16","Capital Expenditures (Total)","(18,911.00)","(5,167.00)","(13,021.00)","(7,740.00)","(561.00)","(561.00)","0.00","0.00","0.00","0.00","(458.17)"
"17","Dividends per Share (Cent)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"18","Total Shares Outstanding","10,694.70","10,603.38","15,850.17","15,958.87","17,601.91","17,601.91","17,601.91","17,601.93","17,601.91","40,484.40","40,484.40"
"19","Dividend Yield (%)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20","Financial Year","31-08-2015 Q4","30-11-2015 Q1","29-02-2016 Q2","31-05-2016 Q3","31-12-2016 Q4","31-03-2017 Q1","30-06-2017 Q2","30-09-2017 Q3","31-12-2017 Q4","31-03-2018 Q1","31-03-2018  TTM"
"21","Sales/Revenue","41.00","26.00","21.00","16.00","0.00","23,754.00","26,016.00","25,263.00","29,439.00","31,919.00","112,637.00"
"22","Pretax Income","(386.00)","(376.00)","(312.00)","(693.00)","(86.00)","2,718.00","3,451.00","2,419.00","6,104.00","4,079.00","16,053.00"
"23","Equity in Earnings of Affiliates","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"24","Consolidated Net Income","(386.00)","(376.00)","(312.00)","(693.00)","(86.00)","1,947.00","2,691.00","1,764.00","3,582.00","2,828.00","10,865.00"
"25","Cash & Short Term Investments","21.00","23.00","6.00","4.00","20,428.09","21,063.00","25,421.00","22,751.00","28,301.74","25,001.00","25,001.00"
"26","Cash Only","21.00","23.00","6.00","4.00","20,428.09","21,063.00","25,421.00","22,751.00","28,301.74","25,001.00","25,001.00"
"27","Total Accounts Receivable","8.00","11.00","20.00","13.00","30.00","19,752.00","17,890.00","23,651.00","27,953.45","22,650.00","22,650.00"
"28","Inventories","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"29","Net Property, Plant & Equipment","552.00","520.00","502.00","489.00","18,035.54","18,457.00","19,284.00","19,592.00","17,207.86","17,696.00","17,696.00"
"30","Short-Term Debt (incl. Current Portion of LTD)","0.00","0.00","0.00","0.00","8,125.91","1,648.00","2,436.00","2,644.00","3,017.08","2,949.00","2,949.00"
"31","Accounts Payable","82.00","0.00","0.00","0.00","6,197.55","4,693.00","3,775.00","7,850.00","6,272.42","7,732.00","7,732.00"
"32","Long Term Debt","0.00","0.00","0.00","0.00","7,642.45","10,456.00","16,143.00","15,832.00","14,441.35","14,458.00","14,458.00"
"33","Accumulated Minority Interest - Total","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"34","Net Operating Cash Flow","27.00","2.00","(17.00)","(2.00)","4,192.24","4,800.00","4,968.00","(2,172.00)","6,539.08","(2,629.00)","6,706.08"
"35","Capital Expenditures (Total)","0.00","0.00","0.00","0.00","(531.82)","(501.00)","373.00","(128.00)","(95.17)","(608.00)","(458.17)"
"36","Dividends per Share (Cent)","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.01","0.00","0.00"
"37","Total Shares Outstanding","17,601.91","17,601.93","17,601.93","17,601.96","428,102.94","428,102.94","428,102.94","428,102.94","428,102.94","428,102.94","428,102.94"
