"1","Financial Year","30-09-2019       3","31-12-2019       4","31-03-2020       Other","30-06-2020       Other","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       Other","30-09-2021       Other","31-12-2021       1"
"2","Sales/Revenue","1,977.10","1,813.47","1,935.91","1,056.70","1,294.20","2,289.80","1,868.67","2,675.24","2,522.08","3,246.13"
"3","Pretax Income","(607.99)","(3,937.19)","(742.37)","(6,870.36)","(533.97)","48.32","(234.33)","301.56","(1,039.80)","186.16"
"4","Net Income","(609.66)","(3,937.39)","(740.50)","(6,870.36)","(533.97)","48.32","(234.33)","301.56","(937.26)","186.16"
"5","Cash & Short-Term Investments","335.23","340.38","687.26","662.75","593.01","596.29","644.10","366.81","922.02","1,466.99"
"6","Cash Only","-","-","-","-","-","-","-","366.81","922.02","1,466.99"
"7","Total Accounts Receivables","31,690.16","30,727.30","30,402.74","24,788.42","25,231.48","24,068.54","23,922.38","24,919.43","26,646.93","30,736.52"
"8","Inventories","731.03","984.64","929.44","579.05","553.63","603.61","712.70","743.74","923.19","1,065.12"
"9","Net Property, Plant & Equipment","16,193.31","15,588.03","15,464.32","15,761.57","17,382.56","17,178.27","16,971.77","16,890.96","18,710.78","18,531.50"
"10","Accrued Payable","4,059.77","3,743.03","4,034.24","3,320.43","3,313.04","5,403.18","5,445.84","5,818.41","4,538.35","3,601.77"
"11","Short Term Debt","52.02","13.33","-","16.17","60.93","56.92","52.84","48.69","63.04","60.01"
"12","Long Term Debt","2.87","-","-","48.69","-","-","-","-","148.36","131.46"
"13","Net Operating Cash Flow","114.41","(3,384.54)","(9,761.45)","(11,168.28)","(185.36)","3,559.13","24.86","(221.45)","(3,641.07)","(1,032.60)"
"14","Capital Expenditures","(222.82)","(4.59)","(1,056.43)","(1,564.97)","-","(11.78)","(6.20)","(56.11)","(2,176.30)","(50.47)"
"15","Total Shares Outstanding (million)","642,283.37","642,283.37","682,511.37","716,539.70","724,289.48","730,529.98","730,529.98","730,529.98","847,029.98","877,676.33"
