"1","Financial Year","30-09-2019       2","31-12-2019       3","31-03-2020       4","30-06-2020       Other","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       4","30-09-2021       1","31-12-2021       2"
"2","Sales/Revenue","48,764.00","53,952.00","40,556.00","23,070.00","25,134.00","9,166.00","1,367.00","611.21","860.00","989.00"
"3","Pretax Income","(2,222.00)","(3,104.00)","(3,683.00)","(495.00)","(490.00)","(852.00)","(2,425.00)","(8,705.26)","(4,728.00)","(7,868.00)"
"4","Net Income","(2,222.00)","(3,106.00)","(3,685.00)","(495.00)","(490.00)","(852.00)","(2,425.00)","(8,714.26)","(4,728.00)","(7,868.00)"
"5","Cash & Short-Term Investments","4,612.00","3,439.00","1,817.00","3,399.00","13,376.00","100,249.00","93,819.00","86,687.00","72,584.00","69,085.00"
"6","Cash Only","4,612.00","3,439.00","1,817.00","3,399.00","13,376.00","15,196.00","13,752.00","26,058.00","2,306.00","6,336.00"
"7","Total Accounts Receivables","14,208.00","12,335.00","12,924.00","12,119.00","12,121.00","13,719.00","20,575.00","25,902.00","41,553.00","37,332.00"
"8","Inventories","10,679.00","11,657.00","8,128.00","3,560.00","2,244.00","112.00","81.00","81.00","81.00","81.00"
"9","Net Property, Plant & Equipment","19,217.00","19,082.00","18,968.00","18,832.00","18,698.00","18,567.00","20,906.00","20,776.00","20,566.00","20,379.00"
"10","Short Term Debt","23,475.00","26,010.00","15,849.00","21,776.00","25,068.00","1,595.00","45.00","45.00","45.00","42.00"
"11","Long Term Debt","-","-","-","-","-","-","311.00","296.00","284.00","276.00"
"12","Net Operating Cash Flow","(3,988.00)","(3,304.00)","8,801.00","4,628.00","(427.00)","99,170.00","(103,053.00)","(17,768.00)","(18,090.00)","3,746.00"
"13","Capital Expenditures","-","-","-","-","-","(4.00)","(1,140.00)","(1,063.00)","-","(21.00)"
"14","Total Shares Outstanding (million)","289,710.80","289,710.80","289,710.80","289,710.80","318,681.80","1,242,860.40","1,502,860.40","1,759,660.40","2,111,592.40","2,111,592.40"
