"1","Financial Year","30-09-2018       3","31-12-2018       4","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       Other","31-03-2020       Other","30-06-2020       1","30-09-2020       2","31-12-2020       3"
"2","Sales/Revenue","853.38","900.14","850.44","1,709.00","707.12","555.29","714.63","892.47","1,174.47","1,215.00"
"3","Pretax Income","(327.25)","(660.68)","(376.72)","419.10","(603.44)","(972.96)","(5,714.81)","(708.45)","(101.70)","1,169.22"
"4","Net Income","(453.45)","(715.98)","(370.46)","413.30","(661.06)","(971.74)","(5,696.87)","(716.02)","(189.56)","1,184.66"
"5","Cash & Short-Term Investments","5,148.08","4,581.19","4,045.86","3,678.61","3,275.34","2,750.81","4,959.23","4,815.96","4,475.29","4,213.39"
"6","Total Accounts Receivables","2,501.07","2,021.93","1,619.80","2,452.58","2,351.71","2,150.35","1,784.70","1,206.67","1,174.73","1,846.38"
"7","Net Property, Plant & Equipment","4,595.38","4,521.99","4,441.84","4,365.37","4,278.35","4,164.34","4,095.06","4,038.07","4,066.76","3,967.01"
"8","Short Term Debt","24.01","-","-","-","-","-","-","15.04","58.27","29.22"
"9","Long Term Debt","616.66","-","-","-","-","-","-","-","43.81","54.76"
"10","Net Operating Cash Flow","127.37","1,064.88","(150.90)","(30.57)","(57.34)","(439.89)","(1,072.81)","104.42","53.16","42.66"
"11","Capital Expenditures","(9.81)","(22.03)","(2.50)","(3.20)","(2.40)","(11.85)","(15.15)","-","(126.93)","(8.18)"
"12","Total Shares Outstanding (million)","232,286.54","232,286.54","232,286.54","232,286.54","232,286.54","232,286.54","255,514.54","255,514.54","255,514.54","255,514.54"
