"1","Financial Year","31-07-2019       4","31-10-2019       Other","31-01-2020       Other","30-04-2020       1","31-07-2020       2","31-10-2020       3","31-01-2021       4","30-04-2021       Other","30-06-2021       Other","30-09-2021       1"
"2","Sales/Revenue","1,391.00","1,156.00","1,617.00","630.00","629.00","762.00","4,097.00","6,163.00","5,954.37","6,480.00"
"3","Pretax Income","(4,075.00)","(74.00)","2,901.00","(493.00)","55.00","(965.00)","(9,426.00)","361.00","(4,340.07)","1,019.00"
"4","Net Income","(3,986.00)","(119.00)","3,056.00","(332.00)","216.00","(811.00)","(9,863.00)","570.00","(4,763.36)","(20.00)"
"5","Cash & Short-Term Investments","486.00","519.00","1,162.51","5,340.00","7,195.00","14,705.00","17,548.00","3,210.00","1,260.50","3,999.00"
"6","Cash Only","486.00","519.00","1,162.51","5,340.00","7,195.00","14,705.00","17,548.00","3,210.00","760.50","3,499.00"
"7","Total Accounts Receivables","2,124.00","2,825.00","5,790.17","5,914.00","5,185.00","7,820.00","13,880.00","14,364.00","9,724.19","18,328.00"
"8","Inventories","-","-","-","-","-","-","-","1,350.00","768.45","1,165.00"
"9","Net Property, Plant & Equipment","1,501.00","1,461.00","1,416.26","1,372.00","1,372.00","1,500.00","6,644.00","13,880.00","16,568.05","17,255.00"
"10","Short Term Debt","-","-","-","-","-","-","487.00","366.00","530.00","9,089.00"
"11","Long Term Debt","-","-","-","-","-","-","2,505.00","2,505.00","2,867.52","2,103.00"
"12","Net Operating Cash Flow","(610.00)","(1,330.00)","(4,847.00)","4,177.00","(842.00)","(3,549.00)","(1,659.00)","(7,249.00)","(2,095.73)","(9,182.00)"
"13","Capital Expenditures","-","(6.00)","(14.00)","-","-","(84.00)","(5,144.00)","(12,672.00)","(13,012.28)","(5,228.00)"
"14","Total Shares Outstanding (million)","271,140.75","284,697.75","298,254.75","298,254.75","325,224.75","402,944.11","466,603.72","466,603.72","466,603.72","508,603.72"
