"1","Financial Year","30-11-2019       Other","29-02-2020       Other","31-05-2020       Other","30-06-2020       Other","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       4","30-09-2021       1","31-12-2021       2"
"2","Sales/Revenue","52,534.00","50,894.00","34,873.00","15,105.00","50,827.00","48,794.00","48,032.00","53,371.00","52,681.00","59,217.00"
"3","Pretax Income","10,665.00","8,632.00","(4,555.00)","3,678.00","10,621.00","6,979.00","4,368.00","5,704.00","5,323.00","9,048.00"
"4","Net Income","7,953.00","6,823.00","(4,301.00)","2,800.00","7,784.00","5,401.00","3,316.00","3,753.00","4,046.00","6,905.00"
"5","Cash & Short-Term Investments","154,795.00","96,955.00","137,077.00","136,456.00","124,447.00","129,696.00","133,974.00","139,906.00","121,844.00","133,361.00"
"6","Total Accounts Receivables","39,556.00","47,066.00","36,445.00","37,964.00","41,662.00","33,659.00","33,503.00","35,476.00","35,322.00","37,497.00"
"7","Inventories","11,084.00","11,856.00","13,010.00","11,465.00","11,112.00","9,836.00","9,759.00","10,296.00","10,386.00","10,334.00"
"8","Net Property, Plant & Equipment","470,053.00","531,996.00","556,952.00","569,606.00","590,889.00","624,787.00","657,813.00","677,334.00","678,303.00","701,829.00"
"9","Accrued Payable","77,688.00","73,786.00","58,340.00","68,002.00","70,903.00","65,407.00","65,001.00","72,828.00","54,867.00","57,189.00"
"10","Short Term Debt","83.00","1,653.00","1,604.00","1,606.00","1,658.00","2,497.00","2,287.00","2,440.00","2,144.00","2,102.00"
"11","Long Term Debt","1,523.00","7,720.00","87,438.00","86,794.00","86,941.00","119,593.00","153,662.00","172,163.00","171,901.00","199,666.00"
"12","Net Operating Cash Flow","25,611.00","(1,428.00)","(8,667.00)","(897.00)","11,478.00","10,427.00","4,887.00","(4,343.00)","(12,468.00)","9,270.00"
"13","Capital Expenditures","(51,648.00)","(57,093.00)","(28,184.00)","366.00","(23,670.00)","(36,224.00)","(34,871.00)","(8,757.00)","(5,427.00)","(21,137.00)"
"14","Total Shares Outstanding (million)","-","1,741,882.00","1,741,882.00","1,741,882.00","1,741,882.00","1,741,882.00","1,741,882.00","1,741,882.00","1,741,882.00","1,741,882.00"
