"1","Financial Year","31-01-2018       3","30-04-2018       4","31-10-2018       Other","31-01-2019       Other","30-04-2019       Other","30-06-2019       Other","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4"
"2","Sales/Revenue","16,845.00","14,479.04","15,085.00","18,329.00","10,318.00","6,936.13","18,312.00","17,041.00","10,021.00","9,409.00"
"3","Pretax Income","289.00","(2,876.22)","(1,922.00)","(1,861.00)","(4,361.00)","(3,561.73)","(1,007.00)","(1,078.00)","(3,828.00)","(4,347.00)"
"4","Net Income","193.00","(3,035.10)","(1,817.00)","(1,498.00)","(4,188.00)","(3,496.00)","(1,025.00)","(964.00)","(3,713.00)","(4,274.00)"
"5","Cash & Short-Term Investments","10,341.00","10,023.30","12,334.00","12,344.00","11,590.00","8,962.09","5,407.00","5,309.00","7,029.00","9,260.00"
"6","Cash Only","9,529.00","4,594.71","6,866.00","1,814.00","2,235.00","1,222.43","841.00","1,968.00","3,652.00","843.00"
"7","Total Accounts Receivables","20,197.00","16,461.62","14,567.00","16,016.00","13,937.00","13,742.60","26,962.00","26,047.00","23,196.00","28,644.00"
"8","Inventories","868.00","1,138.77","1,473.00","1,384.00","1,776.00","2,271.12","2,948.00","4,120.00","4,005.00","3,571.00"
"9","Net Property, Plant & Equipment","1,638.00","1,207.99","1,069.00","749.00","1,078.00","1,660.24","2,279.00","6,914.00","6,367.00","2,470.00"
"10","Accrued Payable","3,235.00","2,029.44","-","-","-","-","-","-","-","-"
"11","Short Term Debt","1,555.00","3,081.30","2,959.00","4,677.00","4,528.00","4,700.18","8,443.00","6,909.00","10,061.00","8,520.00"
"12","Long Term Debt","976.00","576.17","233.00","184.00","409.00","364.64","8,211.00","13,446.00","9,104.00","9,946.00"
"13","Net Operating Cash Flow","1,578.00","(450.48)","359.00","(1,115.00)","(1,352.00)","(1,850.81)","(12,914.00)","1,649.00","(428.00)","(4,615.00)"
"14","Capital Expenditures","(279.00)","(177.63)","(26.00)","(2.00)","(415.00)","(725.89)","(839.00)","(5,113.00)","(109.00)","4,390.00"
"15","Total Shares Outstanding (million)","543,505.29","543,505.29","590,421.12","590,421.12","590,421.12","590,421.12","590,421.12","590,421.12","680,087.72","767,087.72"
