"1","Financial Year","31-07-2019       Other","31-10-2019       Other","31-12-2019       Other","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2","30-09-2021       3"
"2","Sales/Revenue","6,674.00","7,143.00","4,433.00","8,086.00","4,074.00","8,854.00","12,330.73","10,548.00","8,810.00","9,679.00"
"3","Pretax Income","(447.00)","(178.00)","(386.00)","(48.00)","3,716.00","1,543.00","1,676.21","2,614.00","1,571.00","852.00"
"4","Net Income","(409.00)","(231.00)","(200.00)","(89.00)","2,837.00","1,405.00","1,232.75","2,005.00","1,162.00","744.00"
"5","Cash & Short-Term Investments","7,050.00","8,334.00","9,397.00","8,714.00","7,890.00","8,579.00","12,238.00","12,566.00","14,577.00","13,872.00"
"6","Total Accounts Receivables","5,859.00","5,186.00","6,086.00","7,189.00","6,843.00","8,535.00","6,503.00","7,816.00","5,673.00","8,210.00"
"7","Inventories","9,010.00","8,526.00","8,237.00","7,901.00","7,306.00","8,260.00","7,149.00","7,224.00","7,950.00","7,383.00"
"8","Net Property, Plant & Equipment","55,374.00","52,507.00","50,037.00","50,638.00","50,574.00","49,432.00","49,087.00","48,792.00","48,863.00","49,141.00"
"9","Accrued Payable","2,104.00","1,923.00","6,159.00","9,993.00","4,403.00","6,312.00","3,556.00","3,281.00","2,896.00","3,298.00"
"10","Short Term Debt","1,295.00","1,367.00","1,833.00","1,634.00","1,654.00","1,492.00","1,774.00","1,789.00","1,797.00","1,815.00"
"11","Long Term Debt","15,185.00","16,863.00","16,183.00","13,693.00","13,330.00","13,141.00","12,501.00","12,379.00","11,998.00","11,515.00"
"12","Net Operating Cash Flow","(526.00)","(719.00)","2,597.00","3,121.00","(1,170.00)","2,578.00","(1,674.00)","1,083.00","2,923.00","8.00"
"13","Capital Expenditures","(149.00)","(1,623.00)","1,672.00","(896.00)","(391.00)","(406.00)","(479.00)","(410.00)","(466.00)","(244.00)"
"14","Total Shares Outstanding (million)","333,740.00","333,740.00","333,740.00","333,740.00","333,740.00","333,740.00","333,740.00","333,740.00","333,740.00","333,740.00"
