"1","Financial Year","31-12-2009","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-05-2017","31-05-2018"
"2","Sales/Revenue","74,192.13","23,714.70","18,423.15","21,591.44","41,094.79","17,046.44","19,253.15","17,011.00","24,816.98","29,416.64"
"3","Pretax Income","10,288.55","(49,138.06)","(38,130.98)","(19,141.81)","(7,302.53)","(34,250.68)","(13,927.63)","(8,311.00)","(9,969.30)","3,715.04"
"4","Net Income","9,924.77","(48,767.32)","(38,846.42)","(19,072.63)","(7,547.88)","(34,250.68)","(13,927.63)","(8,317.00)","(9,992.67)","3,713.78"
"5","Cash & Short-Term Investments","70,144.27","45,378.81","41,249.98","31,554.42","22,869.29","9,961.30","3,446.62","1,418.00","2,572.74","1,367.47"
"6","Cash Only","17,289.44","3,277.77","6,851.78","5,581.47","10,944.83","4,768.17","2,934.58","-","2,572.74","-"
"7","Total Accounts Receivables","51,205.62","24,141.18","5,798.97","4,341.34","4,818.97","2,892.10","8,519.62","8,725.00","5,685.31","12,267.31"
"8","Inventories","67.01","753.01","184.73","688.39","3,835.83","4,895.00","956.46","910.00","1,387.76","1,126.04"
"9","Net Property, Plant & Equipment","3,792.82","2,600.79","2,025.89","1,406.77","1,274.94","1,100.19","933.67","570.00","736.91","408.17"
"10","Accrued Payable","-","-","-","-","-","-","-","-","-","8,740.14"
"11","Long Term Debt","-","-","-","-","-","-","-","-","-","-"
"12","Net Operating Cash Flow","(8,291.22)","(24,578.02)","(3,234.22)","(9,454.69)","(8,142.39)","(12,396.30)","(11,061.34)","(4,089.00)","(3,825.72)","(2,630.81)"
"13","Capital Expenditures","(2,263.36)","(120.85)","(347.85)","(171.64)","(612.64)","(312.04)","(100.88)","-","(376.78)","(3,374.47)"
"14","Total Shares Outstanding (million)","805,000.00","804,992.00","802,965.00","802,832.00","805,000.00","802,487.00","826,067.00","841,380.00","851,381.00","890,569.00"
