"1","Financial Year","30-06-2018       Other","30-09-2018       Other","31-12-2018       1","31-03-2019       2","30-06-2019       3","30-09-2019       4","31-12-2019       Other","31-03-2020       1","30-06-2020       2","30-09-2020       3"
"2","Sales/Revenue","302.00","462.11","4,005.00","306.00","2,171.00","231.00","311.00","3,691.00","912.00","1,885.00"
"3","Pretax Income","(711.00)","(6,759.97)","(1,161.00)","(2,246.00)","(4,465.00)","(3,899.00)","(5,402.00)","(1,910.00)","54.00","(2,567.00)"
"4","Net Income","(711.00)","(6,991.24)","(1,161.00)","(2,246.00)","(4,471.00)","(3,795.00)","(5,387.00)","(1,910.00)","54.00","(2,451.00)"
"5","Cash & Short-Term Investments","49,210.00","36,144.92","34,549.00","34,659.00","30,762.00","19,602.00","20,221.00","7,179.00","10,352.00","32,163.00"
"6","Cash Only","43,356.00","-","30,591.00","31,653.00","28,488.00","17,705.00","16,521.00","-","-","-"
"7","Total Accounts Receivables","7,029.00","5,327.56","9,714.00","7,000.00","11,426.00","18,787.00","13,323.00","26,435.00","33,532.00","38,023.00"
"8","Inventories","6,467.00","4,275.59","276.00","-","37.00","38.00","37.00","35.00","55.00","530.00"
"9","Net Property, Plant & Equipment","2,507.00","712.30","856.00","1,228.00","1,164.00","1,806.00","1,732.00","1,782.00","1,667.00","40,625.00"
"10","Accrued Payable","818.00","489.25","928.00","808.00","2,614.00","2,464.00","1,573.00","-","-","-"
"11","Short Term Debt","-","-","-","-","-","-","72.00","158.00","88.00","53.00"
"12","Long Term Debt","-","-","-","-","-","-","306.00","365.00","365.00","33,371.00"
"13","Net Operating Cash Flow","(4,426.00)","7,227.31","(1,639.00)","1,747.00","(3,299.00)","(10,131.00)","(8,931.00)","(11,579.00)","(8,834.00)","(7,990.00)"
"14","Capital Expenditures","(101.00)","(3,552.34)","(5.00)","(705.00)","(50.00)","(711.00)","(768.00)","(197.00)","(46.00)","-"
"15","Total Shares Outstanding (million)","756,171.92","756,171.92","756,171.92","756,171.92","756,171.92","756,171.92","779,253.87","785,353.97","785,353.97","16,023.05"
