"1","Financial Year","30-09-2019       Other","31-12-2019       1","31-03-2020       2","30-06-2020       3","30-09-2020       4","31-12-2020       Other","31-03-2021       Other","30-06-2021       1","30-09-2021       2","31-12-2021       3"
"2","Sales/Revenue","-","75.00","120.00","124.00","75.00","-","0.10","613.00","3,471.00","4,144.00"
"3","Pretax Income","(1,660.11)","(265.00)","(204.00)","(87.00)","86.00","(101.00)","(1,151.02)","155.00","1,061.00","4,974.00"
"4","Net Income","(1,658.82)","(265.00)","(204.00)","(87.00)","86.00","(101.00)","(1,150.75)","155.00","1,061.00","4,137.00"
"5","Cash & Short-Term Investments","10.00","141.00","33.00","5.00","4.00","22.00","14.00","161.00","1,460.00","7,408.00"
"6","Cash Only","10.00","141.00","33.00","5.00","4.00","22.00","14.00","161.00","1,460.00","7,408.00"
"7","Total Accounts Receivables","-","75.00","150.00","241.00","153.00","153.00","-","354.00","264.00","897.00"
"8","Net Property, Plant & Equipment","-","292.00","248.00","204.00","160.00","-","121.00","-","63.00","1,532.00"
"9","Short Term Debt","-","127.00","286.00","244.00","372.00","500.00","522.00","-","-","-"
"10","Long Term Debt","-","-","-","-","-","-","-","-","-","-"
"11","Net Operating Cash Flow","(562.00)","(379.00)","(126.00)","(559.00)","(17.00)","(368.00)","(76.00)","147.00","1,362.00","(979.00)"
"12","Capital Expenditures","-","-","-","-","-","-","-","-","(63.00)","(1,494.00)"
"13","Total Shares Outstanding (million)","239,463.43","239,463.43","239,463.43","239,463.43","239,463.43","239,463.43","239,463.43","239,463.43","239,463.43","311,302.43"
