"1","Financial Year","31-08-2013","31-08-2014","31-08-2015","31-08-2016","31-08-2017","31-08-2018","28-02-2019       TTM"
"2","Sales/Revenue","61,251.00","65,422.53","59,645.82","37,021.52","44,177.47","33,248.32","71,536.32"
"3","Pretax Income","10,454.00","10,348.02","9,182.82","2,282.01","2,734.69","(7,490.83)","(7,807.83)"
"4","Net Income","7,662.00","7,191.66","6,459.89","1,632.98","1,822.33","(8,057.87)","(8,163.87)"
"5","Cash & Short-Term Investments","8,303.00","20,721.98","15,490.94","10,806.49","12,129.48","13,843.96","15,932.00"
"6","Cash Only","6,776.00","3,162.02","3,378.42","2,918.64","3,044.12","5,476.85","11,209.00"
"7","Total Accounts Receivables","21,294.00","26,629.67","19,098.42","16,517.88","25,796.78","34,445.37","38,478.00"
"8","Inventories","29,788.00","26,907.17","26,021.03","27,242.32","22,232.33","32,580.35","31,835.00"
"9","Net Property, Plant & Equipment","23,591.00","13,189.49","18,126.10","21,452.86","23,926.51","65,355.80","63,013.00"
"10","Short Term Debt","10,254.00","14,798.99","8,644.78","8,258.11","12,192.94","13,918.06","18,614.00"
"11","Long Term Debt","4,947.00","2,009.97","870.55","157.60","4,427.09","56,593.32","53,202.00"
"12","Net Operating Cash Flow","904.00","609.86","11,595.29","3,528.66","(1,826.56)","5,311.58","(616.42)"
"13","Capital Expenditures","(10,653.00)","(1,416.50)","(5,141.92)","(5,058.94)","(833.65)","(1,680.25)","(1,497.25)"
"14","Total Shares Outstanding (million)","412,234.00","412,234.00","412,234.00","412,234.02","412,235.52","555,511.72","555,511.72"
"15","Financial Year","30-11-2016       1","28-02-2017       2","31-05-2017       3","31-08-2017       4","30-11-2017       1","28-02-2018       2","31-05-2018       3"
"16","Pretax Income","613.00","80.00","975.00","1,067.69","2,258.00","(891.00)","997.00"
"16","Sales/Revenue","8,367.00","8,335.00","15,101.00","12,374.47","11,667.00","6,721.00","9,183.00"
"17","Net Income","384.00","61.00","715.00","663.33","1,664.00","(772.00)","761.00"
"18","Cash & Short-Term Investments","9,681.00","10,814.00","9,959.00","12,136.00","11,322.00","10,747.00","10,741.00"
"19","Cash Only","2,101.00","2,791.00","2,785.00","2,390.00","4,476.00","4,275.00","2,704.00"
"20","Total Accounts Receivables","15,996.00","16,489.00","23,287.00","25,888.00","25,705.00","23,971.00","22,792.00"
"21","Inventories","27,560.00","26,697.00","24,819.00","22,337.00","21,240.00","22,520.00","23,974.00"
"22","Net Property, Plant & Equipment","21,217.00","20,980.00","22,466.00","22,664.00","23,462.00","25,220.00","25,702.00"
"23","Short Term Debt","7,917.00","5,492.00","6,270.00","13,111.00","7,738.00","8,725.00","9,682.00"
"24","Long Term Debt","137.00","2,114.00","3,013.00","2,175.00","4,329.00","4,762.00","5,009.00"
"25","Net Operating Cash Flow","683.00","1,581.00","(890.00)","(3,200.56)","2,985.00","(390.00)","(905.00)"
"26","Capital Expenditures","(4.00)","-","(1,536.00)","706.35","(18.00)","(1,313.00)","(259.00)"
"27","Total Shares Outstanding (million)","412,234.00","412,234.00","412,236.00","412,236.00","412,235.52","412,235.52","412,235.52"
