"1","Financial Year","30-06-2017       4","30-09-2017       1","31-12-2017       2","31-03-2018       3","30-06-2018       4","30-09-2018       1","31-12-2018       2","31-03-2019       3","30-06-2019       Other","30-09-2019       Other"
"2","Sales/Revenue","41,829.28","45,344.00","50,462.00","52,531.00","52,585.00","57,391.00","58,770.00","60,476.00","74,097.00","61,556.00"
"3","Pretax Income","723.85","803.00","1,850.00","(4,272.00)","(4,397.00)","276.00","(1,380.00)","241.00","383.00","(20,816.00)"
"4","Net Income","200.09","843.00","1,831.00","(4,388.00)","(4,563.00)","52.00","(1,597.00)","361.00","682.00","(20,813.00)"
"5","Cash & Short-Term Investments","16,593.01","15,436.00","9,813.00","10,737.00","12,564.74","7,157.00","9,585.00","8,029.00","9,533.00","8,953.00"
"6","Cash Only","16,593.01","15,436.00","9,813.00","10,737.00","9,564.74","7,157.00","9,585.00","8,029.00","9,533.00","8,953.00"
"7","Total Accounts Receivables","48,018.49","48,157.00","54,279.00","63,530.00","52,796.48","54,308.00","51,752.00","59,918.00","56,888.00","72,860.00"
"8","Inventories","7,585.94","8,381.00","8,856.00","10,856.00","9,259.72","10,312.00","12,440.00","11,280.00","10,278.00","7,202.00"
"9","Net Property, Plant & Equipment","70,310.56","69,418.00","69,233.00","69,417.00","82,327.66","86,706.00","87,880.00","89,239.00","90,844.00","88,911.00"
"10","Short Term Debt","527.32","522.00","587.00","584.00","572.42","1,123.00","1,128.00","1,126.00","1,113.00","-"
"11","Long Term Debt","1,721.79","1,598.00","1,728.00","1,584.00","1,445.05","3,990.00","3,709.00","3,429.00","3,162.00","2,889.00"
"12","Net Operating Cash Flow","12,575.76","(3,496.00)","(12,015.00)","(3,454.00)","17,031.52","948.00","1,481.00","2,364.00","5,826.00","7,127.00"
"13","Capital Expenditures","(15,931.04)","(1,100.00)","(1,827.00)","(1,907.00)","(15,053.61)","(3,251.00)","(3,413.00)","(3,640.00)","(4,041.00)","(8,534.00)"
"14","Total Shares Outstanding (million)","851,824.18","851,824.18","937,006.18","993,094.18","993,094.18","993,094.18","1,092,394.18","1,092,396.68","1,092,396.68","1,092,396.68"
