"1","Financial Year","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","",""
"2","Sales/Revenue","50,180.56","66,721.91","66,316.31","68,789.51","73,500.08","57,130.07","65,046.56","32,791.00","",""
"3","Pretax Income","6,393.78","8,104.77","11,087.82","5,701.44","7,671.68","3,684.57","9,264.06","(31,080.00)","",""
"4","Net Income","4,962.41","7,018.75","9,752.07","5,478.32","7,300.30","(1,712.79)","9,385.64","(31,353.00)","",""
"5","Cash & Short-Term Investments","37,040.09","17,549.60","28,487.35","15,649.74","10,052.50","10,917.23","10,263.55","65,736.00","",""
"6","Cash Only","29,075.10","8,484.18","17,231.22","7,225.97","2,122.00","3,255.75","8,722.07","65,736.00","",""
"7","Total Accounts Receivables","11,730.82","18,645.43","29,241.43","55,543.82","53,132.78","70,035.17","89,151.17","93,316.00","",""
"8","Inventories","21,803.19","29,055.89","30,779.65","30,087.23","27,542.65","19,816.25","17,272.30","10,436.00","",""
"9","Net Property, Plant & Equipment","11,775.97","22,845.25","33,192.18","44,803.85","75,717.38","86,233.87","106,250.45","206,602.00","",""
"10","Accrued Payable","-","-","-","-","-","-","-","70,957.00","",""
"11","Short Term Debt","22,293.32","24,078.44","30,611.17","14,509.51","13,920.45","14,397.52","17,593.70","20,918.00","",""
"12","Long Term Debt","-","-","719.78","5,809.50","27,865.60","36,963.93","45,792.38","41,992.00","",""
"13","Net Operating Cash Flow","767.22","(6,170.16)","5,477.48","(19,618.47)","13,955.54","(5,210.02)","12,020.31","43,484.00","",""
"14","Capital Expenditures","(96.69)","(11,670.67)","(7,662.08)","(12,811.46)","(34,420.13)","(15,840.78)","(19,947.78)","(101,864.00)","",""
"15","Total Shares Outstanding (million)","516,002.06","516,000.00","604,419.40","798,460.55","798,460.55","891,356.95","1,093,826.08","2,263,027.81","891,356.95","181,164.00"
