"1","Financial Year","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-03-2018  TTM"
"2","Pretax Income","1,641.64","4,208.18","2,828.06","(5,022.22)","786.50","(6,957.86)","1,499.48","2,060.00"
"3","Consolidated Net Income","1,233.87","3,446.01","1,285.75","(4,294.18)","897.05","(5,926.54)","724.56","1,300.00"
"4","Cash & Short Term Investments","16,146.15","23,625.10","21,522.87","14,834.72","16,361.96","18,240.99","23,778.43",""
"5","Cash Only","14,672.36","16,171.93","3,156.36","13,673.00","13,353.82","13,126.61","11,720.09",""
"6","Total Accounts Receivable","11,507.56","21,823.81","20,810.56","32,797.26","43,664.31","89,013.62","78,424.88",""
"7","Inventories","1,410.35","2,572.79","1,736.15","2,584.51","2,361.36","1,774.88","1,191.05",""
"8","Net Property, Plant & Equipment","9,880.88","11,554.61","8,177.72","6,395.71","3,767.75","6,840.50","34,228.69",""
"9","Short-Term Debt (incl. Current Portion of LTD)","4,019.27","4,764.84","6,148.60","8,878.60","12,669.16","13,583.15","13,357.26",""
"10","Accounts Payable","2,881.59","13,656.81","9,566.96","16,322.22","21,713.09","51,429.47","41,446.21",""
"11","Long Term Debt","71.43","225.11","215.66","138.55","45.78","384.90","12,505.55",""
"12","Accumulated Minority Interest - Total","0.00","0.00","0.00","0.00","0.00","4,910.24","6,193.98",""
"13","Net Operating Cash Flow","7,004.82","2,377.19","(2,725.94)","(8,873.62)","(3,777.35)","(3,267.74)","(35,757.09)","(57,861.09)"
"14","Capital Expenditures (Total)","(7,497.82)","(4,681.91)","(139.13)","(121.28)","(297.44)","(1,255.12)","(107.17)","(98.17)"
"15","Dividends per Share (Cent)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"16","Total Shares Outstanding","358,628.51","358,628.51","358,628.51","358,628.51","358,628.51","449,939.36","811,573.13","358.63"
"17","Dividend Yield (%)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"18","Financial Year","31-12-2015 Q4","31-03-2016 Q1","30-06-2016 Q2","30-09-2016 Q3","31-12-2016 Q4","31-03-2017 Q1","30-06-2017 Q2","30-09-2017 Q3"
"19","Pretax Income","(520.00)","225.00","(68.00)","(2,329.00)","(4,464.00)","156.00","513.00","447.00"
"20","Consolidated Net Income","(581.00)","323.00","78.00","(2,375.00)","(4,466.00)","132.00","485.00","103.00"
"21","Cash & Short Term Investments","16,361.96","15,522.00","20,493.00","19,156.00","18,240.00","18,535.00","35,331.00","30,340.00"
"22","Cash Only","13,353.82","12,486.00","2,734.00","4,299.00","2,943.00","4,626.00","1,846.00","2,573.00"
"23","Total Accounts Receivable","43,664.31","36,632.00","34,196.00","32,752.00","79,206.00","77,513.00","76,235.00","73,572.00"
"24","Inventories","2,361.36","1,545.00","3,106.00","2,330.00","1,687.00","1,610.00","1,447.00","1,567.00"
"25","Net Property, Plant & Equipment","3,767.75","3,737.00","3,931.00","3,968.00","6,841.00","5,796.00","32,521.00","34,970.00"
"26","Short-Term Debt (incl. Current Portion of LTD)","12,669.16","13,301.00","9,321.00","14,969.00","13,538.00","10,823.00","15,307.00","19,729.00"
"27","Accounts Payable","21,713.09","14,646.00","15,806.00","10,849.00","37,154.00","43,411.00","43,422.00","41,214.00"
"28","Long Term Debt","45.78","43.00","174.00","163.00","430.00","1,015.00","8,520.00","13,029.00"
"29","Accumulated Minority Interest - Total","0.00","0.00","0.00","0.00","5,486.00","4,896.00","5,341.00","5,907.00"
"30","Net Operating Cash Flow","(2,059.35)","(1,546.00)","4,283.00","(6,888.00)","883.26","(4,003.00)","(24,891.00)","8,105.00"
"31","Capital Expenditures (Total)","(13.44)","(8.00)","(229.00)","74.00","(1,092.12)","(29.00)","(14.00)","(173.00)"
"32","Dividends per Share (Cent)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"33","Total Shares Outstanding","358,628.51","358,628.51","394,491.24","394,491.24","449,939.36","493,313.12","811,573.10","811,573.13"
