"1","Financial Year","30-06-2015","30-06-2016","30-06-2017","30-06-2018","30-06-2019","30-06-2020","30-06-2021","30-09-2021       TTM","",""
"2","Sales/Revenue","299,866.00","341,125.91","428,565.86","459,221.02","624,976.48","640,401.00","669,210.00","668,434.65","",""
"3","Pretax Income","10,352.00","3,216.83","2,988.58","(5,295.03)","14,679.49","7,107.00","13,721.00","17,243.44","",""
"4","Net Income","7,050.00","1,851.57","1,115.04","(8,127.78)","11,162.92","3,897.00","7,464.00","9,425.31","",""
"5","Cash & Short-Term Investments","29,882.00","21,998.89","2,776.93","6,791.98","11,677.45","2,012.00","10,273.00","15,199.00","",""
"6","Cash Only","-","-","-","-","-","-","10,273.00","5,602.25","",""
"7","Total Accounts Receivables","58,828.00","95,223.78","117,669.96","130,696.66","140,911.24","135,748.00","103,579.00","108,426.25","",""
"8","Inventories","55,238.00","60,413.76","79,644.49","103,120.84","111,616.63","101,267.00","87,151.00","87,738.75","",""
"9","Net Property, Plant & Equipment","60,225.00","60,301.85","73,185.84","71,835.59","95,682.99","97,000.00","98,295.00","98,045.50","",""
"10","Accrued Payable","-","31,208.44","25,627.28","34,861.49","-","41,334.00","42,563.00","46,889.75","",""
"11","Short Term Debt","64,419.00","102,169.05","133,590.78","171,110.37","183,997.82","153,865.00","103,034.00","109,384.25","",""
"12","Long Term Debt","13,591.00","14,703.89","19,544.49","20,418.79","19,889.22","20,408.00","21,167.00","20,698.25","",""
"13","Net Operating Cash Flow","17,262.00","(47,667.54)","(33,452.97)","(25,262.96)","4,276.81","30,587.00","61,494.00","45,043.00","",""
"14","Capital Expenditures","(23,748.00)","(2,005.95)","(5,264.42)","(3,471.75)","(3,237.74)","(1,119.00)","(905.00)","(982.00)","",""
"15","Total Shares Outstanding (million)","368,277.00","510,277.00","510,277.00","510,277.00","510,277.00","510,277.00","670,289.39","670,289.39","510,277.00","256,888.04"
