"1","Financial Year","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM","","","",""
"2","Sales/Revenue","204,131.87","192,517.68","241,826.91","247,091.00","261,474.00","165,047.00","","","",""
"3","Pretax Income","59,248.20","20,283.73","32,898.84","25,333.00","15,097.00","(1,184.00)","","","",""
"4","Net Income","60,114.78","27,411.83","24,324.82","19,354.00","11,362.00","(726.00)","","","",""
"5","Cash & Short-Term Investments","32,206.29","41,217.64","97,896.03","83,085.00","91,112.00","86,395.00","","","",""
"6","Cash Only","10,706.29","4,867.64","2,863.09","4,551.00","1,049.00","31,815.00","","","",""
"7","Total Accounts Receivables","28,593.48","17,329.47","25,284.06","29,927.00","22,554.00","13,523.00","","","",""
"8","Inventories","18,389.47","15,593.48","34,288.61","39,399.00","33,366.00","32,857.00","","","",""
"9","Net Property, Plant & Equipment","41,676.24","38,944.24","40,095.75","45,589.00","41,446.00","42,078.00","","","",""
"10","Accrued Payable","-","-","-","-","-","14,904.00","","","",""
"11","Short Term Debt","6,139.04","6,483.16","4,389.73","2,517.00","541.00","261.00","","","",""
"12","Long Term Debt","15,345.61","9,365.71","3,382.03","854.00","313.00","116.00","","","",""
"13","Net Operating Cash Flow","14,938.59","25,998.30","16,637.18","5,887.00","21,417.00","8,303.00","","","",""
"14","Capital Expenditures","(2,806.19)","(2,912.41)","(4,344.06)","(9,712.00)","(4,155.00)","(4,986.00)","","","",""
"15","Total Shares Outstanding (million)","310,000.00","310,000.00","388,000.00","388,000.00","388,000.00","387,185.00","388,000.00","241,247.14","",""
