"1","Financial Year","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","30-06-2019","30-09-2019       TTM","",""
"2","Sales/Revenue","1.00","39,435.00","46,434.00","54,519.00","57,260.25","54,686.36","53,214.05","",""
"3","Pretax Income","4,675.00","6,413.00","9,655.00","13,665.00","12,122.52","7,191.93","6,184.40","",""
"4","Net Income","3,372.00","4,730.00","7,168.00","10,027.00","9,071.33","4,873.70","4,052.85","",""
"5","Cash & Short-Term Investments","10,614.00","9,372.00","7,278.00","11,297.00","50,086.50","44,418.36","47,872.21","",""
"6","Cash Only","9,561.00","8,288.00","7,278.00","11,297.00","11,446.64","9,559.97","10,279.96","",""
"7","Total Accounts Receivables","7,602.00","9,924.00","13,303.00","19,467.00","25,440.37","32,627.07","29,030.16","",""
"8","Net Property, Plant & Equipment","8,620.00","8,595.00","8,151.00","8,061.00","9,100.47","12,354.31","11,296.31","",""
"9","Short Term Debt","421.00","1,119.00","607.00","1,135.00","753.89","876.56","1,011.79","",""
"10","Long Term Debt","5,315.00","8,087.00","8,187.00","7,515.00","7,954.46","7,352.15","10,541.24","",""
"11","Net Operating Cash Flow","13,321.00","196.00","2,882.00","7,075.00","4,600.19","386.06","346.09","",""
"12","Capital Expenditures","(1,289.00)","(984.00)","(383.00)","(566.00)","(1,376.45)","(4,031.36)","(5,252.76)","",""
"13","Total Shares Outstanding (million)","174,021.00","174,021.00","174,021.00","174,021.00","260,000.00","260,000.00","260,000.00","174,021.00","748,957.96"
