"1","Financial Year","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1","30-06-2019       2","30-09-2019       3"
"2","Sales/Revenue","88,469.00","81,083.00","68,384.00","55,748.00","69,343.88","64,757.00","70,949.00","78,217.00"
"3","Pretax Income","8,002.00","9,037.00","11,826.00","8,902.00","7,183.57","9,262.00","9,009.00","9,208.00"
"4","Net Income","5,951.00","6,597.00","9,131.00","6,760.00","5,401.83","7,040.00","6,936.00","7,180.00"
"5","Cash & Short-Term Investments","31,481.78","80,381.00","83,324.00","91,787.00","83,329.92","81,159.00","85,812.00","59,851.00"
"6","Cash Only","11,011.60","12,493.00","14,802.00","26,557.00","18,069.08","15,443.00","21,795.00","16,256.00"
"7","Total Accounts Receivables","107,749.82","84,653.00","91,098.00","82,440.00","118,196.58","101,874.00","111,874.00","126,118.00"
"8","Net Property, Plant & Equipment","12,974.68","12,132.00","12,752.00","12,557.00","11,224.13","10,023.00","18,138.00","17,472.00"
"9","Short Term Debt","-","-","-","-","-","-","-","-"
"10","Long Term Debt","-","-","-","-","-","-","-","-"
"11","Net Operating Cash Flow","18,821.90","6,761.00","4,054.00","15,194.00","(9,164.52)","3,331.00","12,979.00","(20,240.00)"
"12","Capital Expenditures","(5,409.91)","(371.00)","(1,868.00)","(1,282.00)","59.55","(13.00)","(9,288.00)","(436.00)"
"13","Total Shares Outstanding (million)","500,000.00","625,000.00","625,000.00","625,000.00","625,000.00","625,000.00","625,000.00","625,000.00"
