"1","Financial Year","31-12-2017       1","31-03-2018       3","30-06-2018       4","30-09-2018       1","31-12-2018       2","31-03-2019       3"
"2","Sales/Revenue","15,397.17","7,940.00","12,026.46","14,836.00","13,588.00","15,517.00"
"3","Pretax Income","4,411.85","2,250.00","2,671.83","3,212.00","3,332.00","3,333.00"
"4","Net Income","3,311.96","1,808.00","1,655.33","1,926.00","2,385.00","2,538.00"
"5","Cash & Short-Term Investments","17,261.88","15,918.00","15,259.83","26,821.00","25,691.00","20,858.00"
"6","Cash Only","16,717.96","15,373.00","14,715.04","26,276.00","25,146.00","20,200.00"
"7","Total Accounts Receivables","6,431.94","7,201.00","11,351.28","15,991.00","10,994.00","13,640.00"
"8","Net Property, Plant & Equipment","22,969.85","22,631.00","24,329.29","22,812.00","29,136.00","29,060.00"
"9","Short Term Debt","1,180.84","1,203.00","1,223.60","1,116.00","205.00","310.00"
"10","Long Term Debt","6,971.80","6,921.00","7,145.80","7,128.00","5,578.00","6,016.00"
"11","Net Operating Cash Flow","10,971.99","10,477.00","2,675.50","(6,688.00)","7,681.00","(2,252.00)"
"12","Capital Expenditures","(3,209.05)","(4,029.00)","(2,806.09)","(482.00)","(6,372.00)","(1,382.00)"
"13","Total Shares Outstanding (million)","167,136.00","167,136.00","167,136.00","222,848.00","222,848.00","222,848.00"
"14","Financial Year","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM","31-03-2019       TTM"
"15","Sales/Revenue","28,771.10","25,726.06","26,525.74","35,363.46","55,967.46","55,967.46"
"16","Net Income","4,231.74","4,512.98","6,976.09","6,775.33","8,504.33",""
"16","Pretax Income","5,449.26","5,920.77","8,570.85","9,333.83","12,548.83","12,548.83"
"17","Cash & Short-Term Investments","4,555.54","9,862.02","9,787.22","15,259.83","20,858.00",""
"18","Cash Only","3,880.83","9,167.85","9,174.91","14,715.04","20,200.00",""
"19","Total Accounts Receivables","4,283.58","5,906.00","8,639.72","11,351.28","13,640.00",""
"20","Net Property, Plant & Equipment","11,860.40","14,044.35","21,882.12","24,329.29","29,060.00",""
"21","Short Term Debt","673.26","452.14","1,208.79","1,223.60","310.00",""
"22","Long Term Debt","11,780.03","11,553.25","7,377.51","7,145.80","6,016.00",""
"23","Net Operating Cash Flow","790.76","9,868.26","9,100.88","13,152.50","1,416.50",""
"24","Capital Expenditures","(2,100.25)","(3,946.53)","(10,959.26)","(6,835.09)","(11,042.09)",""
"25","Total Shares Outstanding (million)","167,136.00","167,136.00","167,136.00","167,136.00","222,848.00","167,136.00"
