"1","Financial Year","31-03-2018       3","30-06-2018       4","30-09-2018       1","31-12-2018       2","31-03-2019       3"
"2","Sales/Revenue","4,751.89","8,061.79","4,809.46","7,877.15","7,238.99"
"3","Pretax Income","1,810.08","3,431.49","1,329.36","4,345.03","3,272.16"
"4","Net Income","1,380.35","2,411.71","846.42","3,080.42","2,039.22"
"5","Cash & Short-Term Investments","1,714.36","2,279.36","48,191.61","39,895.10","37,915.17"
"6","Cash Only","1,714.36","2,279.36","48,191.61","39,895.10","37,915.17"
"7","Total Accounts Receivables","11,516.59","11,533.47","8,054.41","11,150.84","9,440.63"
"8","Inventories","6,533.23","7,027.05","7,351.70","6,925.13","6,480.97"
"9","Net Property, Plant & Equipment","12,701.22","15,927.65","17,078.44","19,148.59","20,783.17"
"10","Accrued Payable","1,352.97","2,350.06","2,571.03","2,007.38","1,257.77"
"11","Long Term Debt","-","-","-","-","-"
"12","Net Operating Cash Flow","4,201.77","2,947.58","4,886.77","1,214.89","2,473.25"
"13","Capital Expenditures","(1,187.70)","(3,739.92)","(1,878.49)","(2,286.58)","(1,807.53)"
"14","Total Shares Outstanding (million)","236,410.00","236,083.82","317,743.82","317,743.82","317,743.82"
"15","Financial Year","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM"
"16","Net Income","12,279.13","13,536.06","13,709.62","8,300.06","8,377.77"
"16","Sales/Revenue","22,847.33","24,269.74","24,540.83","25,299.63","27,987.39"
"17","Cash & Short-Term Investments","1,736.69","4,666.25","2,057.97","2,279.36","37,915.17"
"17","Pretax Income","12,309.52","13,552.21","13,609.64","11,116.96","12,378.04"
"18","Cash Only","1,736.69","4,666.25","2,057.97","2,279.36","37,915.17"
"19","Total Accounts Receivables","10,624.38","8,159.57","10,188.72","11,533.47","9,440.63"
"20","Inventories","4,923.15","5,930.18","5,917.71","7,027.05","6,480.97"
"21","Net Property, Plant & Equipment","4,127.11","3,745.08","3,663.74","15,927.65","20,783.17"
"22","Accrued Payable","2,385.54","5,349.71","3,677.83","2,350.06","1,257.77"
"23","Long Term Debt","-","-","-","-","-"
"24","Net Operating Cash Flow","12,169.72","15,060.23","11,135.85","7,149.35","11,522.49"
"25","Capital Expenditures","(1,728.72)","(610.29)","(876.50)","(4,927.62)","(9,712.52)"
"26","Total Shares Outstanding (million)","236,410.00","236,410.00","236,410.00","236,083.82","317,743.82"
