"1","Financial Year","30-06-2015","30-06-2016","30-06-2017","30-06-2018","30-06-2019","30-06-2019"
"2","Sales/Revenue","22,847.33","24,269.74","24,540.83","25,299.63","29,694.64","29,694.64"
"3","Pretax Income","12,309.52","13,552.21","13,609.64","11,116.96","14,743.15","14,743.15"
"4","Net Income","12,279.13","13,536.06","13,709.62","8,300.06","10,941.60","10,941.60"
"5","Cash & Short-Term Investments","1,736.69","4,666.25","2,057.97","2,279.36","38,949.20","38,949.20"
"6","Cash Only","1,736.69","4,666.25","2,057.97","2,279.36","30,733.51","30,733.51"
"7","Total Accounts Receivables","10,624.38","8,159.57","10,188.72","11,533.47","10,971.77","10,971.77"
"8","Inventories","4,923.15","5,930.18","5,917.71","7,027.05","7,760.22","7,760.22"
"9","Net Property, Plant & Equipment","4,127.11","3,745.08","3,663.74","15,927.65","22,274.62","22,274.62"
"10","Accrued Payable","2,385.54","5,349.71","3,677.83","2,350.06","3,316.03","3,316.03"
"11","Long Term Debt","-","-","-","-","-","-"
"12","Net Operating Cash Flow","12,169.72","15,060.23","11,135.85","7,149.35","12,407.99","12,407.99"
"13","Capital Expenditures","(1,728.72)","(610.29)","(876.50)","(4,927.62)","(7,906.68)","(7,906.68)"
"14","Total Shares Outstanding (million)","236,410.00","236,410.00","236,410.00","236,083.82","317,743.82","236,410.00"
