"1","Financial Year","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM"
"2","Sales/Revenue","22,847.33","24,269.74","24,540.83","25,299.63","27,987.39"
"3","Pretax Income","12,309.52","13,552.21","13,609.64","11,116.96","12,378.04"
"4","Net Income","12,279.13","13,536.06","13,709.62","8,300.06","8,377.77"
"5","Cash & Short-Term Investments","1,736.69","4,666.25","2,057.97","2,279.36","32,070.31"
"6","Cash Only","1,736.69","4,666.25","2,057.97","2,279.36","32,070.31"
"7","Total Accounts Receivables","10,624.38","8,159.57","10,188.72","11,533.47","10,044.84"
"8","Inventories","4,923.15","5,930.18","5,917.71","7,027.05","6,946.21"
"9","Net Property, Plant & Equipment","4,127.11","3,745.08","3,663.74","15,927.65","18,234.46"
"10","Accrued Payable","2,385.54","5,349.71","3,677.83","2,350.06","2,046.56"
"11","Long Term Debt","-","-","-","-","-"
"12","Net Operating Cash Flow","12,169.72","15,060.23","11,135.85","7,149.35","11,522.49"
"13","Capital Expenditures","(1,728.72)","(610.29)","(876.50)","(4,927.62)","(9,712.52)"
"14","Total Shares Outstanding (million)","236,410.00","236,410.00","236,410.00","236,083.82","317,743.82"
