"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","16,977.64","24,752.97","44,766.81","31,295.75","26,727.75"
"3","Pretax Income","3,055.94","4,386.15","6,202.16","1,580.90","2,652.90"
"4","Net Income","2,863.85","4,345.49","6,016.31","613.15","1,254.15"
"5","Cash & Short-Term Investments","3,782.95","7,398.17","17,250.28","29,209.77","25,599.00"
"6","Cash Only","3,782.95","7,398.17","17,250.28","26,679.17","24,048.00"
"7","Total Accounts Receivables","6,808.88","10,513.18","19,050.67","15,576.38","15,934.00"
"8","Inventories","2,185.54","1,973.52","2,084.35","1,504.11","1,717.00"
"9","Net Property, Plant & Equipment","419.57","501.16","745.45","1,481.19","1,919.00"
"10","Short Term Debt","38.48","367.78","552.60","670.66","314.00"
"11","Long Term Debt","12.17","1,644.40","1,995.20","1,694.35","507.00"
"12","Net Operating Cash Flow","595.80","4,659.49","9,077.66","(3,226.35)","(4,711.35)"
"13","Capital Expenditures","(1,592.20)","(1,262.27)","(560.68)","(683.32)","(717.32)"
"14","Total Shares Outstanding (million)","243,600.00","243,600.00","243,600.00","243,600.00","243,600.00"
"15","Financial Year","30-09-2018       3","31-12-2018       4","31-03-2019       1","",""
"16","Pretax Income","1,924.00","274.90","454.00","",""
"16","Sales/Revenue","9,229.00","11,654.75","5,844.00","",""
"17","Net Income","1,515.00","(427.85)","167.00","",""
"18","Cash & Short-Term Investments","15,683.00","29,209.77","25,599.00","",""
"19","Cash Only","14,662.00","26,679.17","24,048.00","",""
"20","Total Accounts Receivables","12,220.00","15,576.38","15,934.00","",""
"21","Inventories","1,776.00","1,504.11","1,717.00","",""
"22","Net Property, Plant & Equipment","1,014.00","1,481.19","1,919.00","",""
"23","Short Term Debt","590.00","670.66","314.00","",""
"24","Long Term Debt","1,553.00","1,694.35","507.00","",""
"25","Net Operating Cash Flow","(1,252.00)","(1,974.35)","(1,485.00)","",""
"26","Capital Expenditures","(495.00)","(188.32)","(34.00)","",""
"27","Total Shares Outstanding (million)","243,600.00","243,600.00","243,600.00","",""
