"1","Financial Year","30-09-2018       3","31-12-2018       4","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       4"
"2","Sales/Revenue","9,229.00","11,654.75","5,844.00","8,229.00","7,345.00","9,671.00"
"3","Pretax Income","1,924.00","274.90","454.00","1,897.00","95.00","623.00"
"4","Net Income","1,515.00","(427.85)","167.00","1,668.00","(24.00)","218.00"
"5","Cash & Short-Term Investments","15,683.00","29,209.77","25,599.00","26,230.00","27,089.00","26,383.00"
"6","Cash Only","14,662.00","26,679.17","24,048.00","24,666.00","25,510.00","26,383.00"
"7","Total Accounts Receivables","12,220.00","15,576.38","15,934.00","16,208.00","16,461.00","19,901.00"
"8","Inventories","1,776.00","1,504.11","1,717.00","1,907.00","1,386.00","1,188.00"
"9","Net Property, Plant & Equipment","1,014.00","1,481.19","1,919.00","2,686.00","2,605.00","2,474.00"
"10","Short Term Debt","590.00","670.66","314.00","502.00","483.00","478.00"
"11","Long Term Debt","1,553.00","1,694.35","507.00","797.00","686.00","561.00"
"12","Net Operating Cash Flow","(1,252.00)","(1,974.35)","(1,485.00)","1,235.00","983.00","(401.00)"
"13","Capital Expenditures","(495.00)","(188.32)","(34.00)","(443.00)","(34.00)","(166.00)"
"14","Total Shares Outstanding (million)","243,600.00","243,600.00","243,600.00","243,600.00","243,600.00","487,200.00"
