"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","31-03-2021       TTM","",""
"2","Sales/Revenue","21,393.00","22,703.00","93,914.00","219,582.00","215,935.04","261,126.39","303,530.39","",""
"3","Pretax Income","5,604.00","6,086.00","19,268.00","31,861.00","57,572.45","90,076.14","118,288.14","",""
"4","Net Income","5,598.00","5,809.00","19,056.00","31,719.00","52,296.64","87,846.48","116,018.48","",""
"5","Cash & Short-Term Investments","3,558.00","5,418.00","11,291.00","64,993.00","217,932.58","285,529.72","257,511.75","",""
"6","Cash Only","3,558.00","5,418.00","4,218.00","12,384.00","38,476.17","71,062.80","46,309.00","",""
"7","Total Accounts Receivables","5,550.00","7,322.00","61,367.00","47,951.00","39,706.93","55,691.35","87,013.50","",""
"8","Inventories","2,336.00","6,276.00","7,499.00","3,594.00","2,864.98","11,670.69","14,754.00","",""
"9","Net Property, Plant & Equipment","13,558.00","18,638.00","24,737.00","35,543.00","66,678.39","94,367.45","83,322.50","",""
"10","Accrued Payable","-","-","-","-","-","-","37,444.75","",""
"11","Short Term Debt","903.00","1,751.00","2,020.00","2,442.00","2,332.34","2,555.22","2,731.25","",""
"12","Long Term Debt","4,229.00","5,943.00","7,122.00","5,701.00","20,313.78","17,817.82","19,179.50","",""
"13","Net Operating Cash Flow","8,465.00","572.00","13,061.00","76,110.00","104,135.03","103,231.63","120,539.00","",""
"14","Capital Expenditures","(7,640.00)","(1,007.00)","(4,011.00)","(11,955.00)","(29,098.01)","(29,480.98)","(31,014.00)","",""
"15","Total Shares Outstanding (million)","506,250.00","506,250.00","506,250.00","506,250.00","626,000.00","1,252,000.00","1,252,000.00","506,250.00","570,945.02"
