"1","Financial Year","31-03-2019       1","30-06-2019       2"
"2","Sales/Revenue","58,727.00","51,004.00"
"3","Pretax Income","12,629.00","10,926.00"
"4","Net Income","12,548.00","10,804.00"
"5","Cash & Short-Term Investments","46,845.00","182,831.00"
"6","Cash Only","24,448.00","81,702.00"
"7","Total Accounts Receivables","46,952.00","23,691.00"
"8","Inventories","1,744.00","1,636.00"
"9","Net Property, Plant & Equipment","50,234.00","53,917.00"
"10","Accrued Payable","28,049.00","39,888.00"
"11","Short Term Debt","2,554.00","2,993.00"
"12","Long Term Debt","5,141.00","23,403.00"
"13","Net Operating Cash Flow","(1,975.00)","49,268.00"
"14","Capital Expenditures","(15,180.00)","(19,707.00)"
"15","Total Shares Outstanding (million)","506,250.00","626,000.00"
