"1","Financial Year","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1"
"2","Sales/Revenue","20,686.00","17,216.00","18,264.00","21,565.00","15,942.00"
"3","Pretax Income","4,650.00","2,742.00","2,186.00","723.00","3,059.00"
"4","Net Income","4,194.00","2,148.00","1,715.00","348.00","2,824.00"
"5","Cash & Short-Term Investments","4,708.00","5,107.00","26,116.00","24,140.00","29,581.00"
"6","Total Accounts Receivables","20,490.00","19,274.00","19,139.00","25,020.00","17,312.00"
"7","Inventories","5,339.00","9,255.00","8,737.00","5,487.00","7,380.00"
"8","Net Property, Plant & Equipment","22,979.00","22,748.00","22,998.00","23,271.00","23,130.00"
"9","Short Term Debt","5,609.00","5,024.00","489.00","478.00","467.00"
"10","Long Term Debt","12,577.00","12,189.00","1,368.00","1,256.00","1,135.00"
"11","Net Operating Cash Flow","(4,208.00)","4,081.00","(949.00)","442.00","5,670.00"
"12","Capital Expenditures","(257.00)","(195.00)","(381.00)","(639.00)","(237.00)"
"13","Total Shares Outstanding (million)","977,181.20","977,181.20","1,221,477.20","1,221,477.20","1,221,477.20"
