"1","Financial Year","30-06-2019       4","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       3"
"2","Sales/Revenue","53,912.00","49,079.00","45,811.00","41,582.00","29,656.59","55,265.00","53,921.00","43,461.00"
"3","Pretax Income","11,944.00","9,089.00","13,481.00","11,156.00","6,575.03","14,403.00","13,613.00","7,854.00"
"4","Net Income","9,242.00","6,499.00","10,540.00","8,128.00","5,022.96","10,796.00","10,432.00","5,299.00"
"5","Cash & Short-Term Investments","31,355.90","101,870.00","97,455.00","105,680.00","109,725.00","104,708.00","121,407.00","130,779.00"
"6","Cash Only","28,290.44","23,519.00","11,062.00","17,491.00","32,289.00","13,217.00","23,349.00","29,937.00"
"7","Total Accounts Receivables","56,290.85","53,206.00","48,943.00","53,255.00","41,814.00","64,739.00","57,972.00","46,989.00"
"8","Inventories","24,901.75","27,674.00","27,864.00","27,483.00","25,802.00","20,401.00","23,080.00","23,031.00"
"9","Net Property, Plant & Equipment","23,179.86","23,383.00","25,462.00","24,903.00","24,251.00","24,312.00","23,569.00","22,822.00"
"10","Short Term Debt","5,567.77","489.00","-","-","58.00","50.00","41.00","16.00"
"11","Long Term Debt","6,106.66","4,011.00","-","-","53.00","48.00","43.00","53.00"
"12","Net Operating Cash Flow","26,259.60","8,221.00","9,532.00","6,996.00","18,479.00","(4,607.00)","22,640.00","8,864.00"
"13","Capital Expenditures","(1,093.21)","(837.00)","(2,844.00)","(229.00)","(34.00)","(946.00)","8.00","8.00"
"14","Total Shares Outstanding (million)","613,455.90","681,617.40","681,617.40","681,617.40","681,617.40","681,617.40","681,617.40","681,617.40"
