"1","Financial Year","30-09-2019       2","31-12-2019       3","31-03-2020       4"
"2","Sales/Revenue","102,404.00","62,120.00","51,350.00"
"3","Pretax Income","4,516.00","4,834.00","2,845.00"
"4","Net Income","3,656.00","3,978.00","3,814.00"
"5","Cash & Short-Term Investments","24,533.00","49,715.00","60,957.26"
"6","Cash Only","15,269.00","19,558.00","27,462.59"
"7","Total Accounts Receivables","93,217.00","78,835.00","62,263.48"
"8","Inventories","5,543.00","9,141.00","19,815.81"
"9","Net Property, Plant & Equipment","16,348.00","15,873.00","16,369.82"
"10","Short Term Debt","4,138.00","8,047.00","8,802.86"
"11","Long Term Debt","12,819.00","12,494.00","11,503.50"
"12","Net Operating Cash Flow","7,729.00","(11,735.00)","12,819.16"
"13","Capital Expenditures","(304.00)","(120.00)","118.49"
"14","Total Shares Outstanding (million)","291,796.00","390,624.00","390,623.66"
