"1","Financial Year","31-03-2020       1","30-06-2020       2","30-09-2020       Other","31-12-2020       Other","31-03-2021       Other","30-06-2021       1","30-09-2021       2"
"2","Sales/Revenue","18,269.00","11,563.00","25,363.00","24,544.00","28,151.00","14,898.00","13,539.00"
"3","Pretax Income","(2,425.00)","(3,404.00)","2,256.00","128.00","(5,049.00)","(194.00)","(2,467.00)"
"4","Net Income","(2,897.00)","(3,081.00)","1,632.00","(561.00)","(4,194.00)","(382.00)","(2,445.00)"
"5","Cash & Short-Term Investments","14,724.00","13,322.00","9,824.00","6,982.00","9,976.00","26,278.00","34,505.00"
"6","Cash Only","14,724.00","13,322.00","9,824.00","6,982.00","9,976.00","8,649.00","7,574.00"
"7","Total Accounts Receivables","69,164.00","69,933.00","76,754.00","77,871.00","71,154.00","50,454.00","35,885.00"
"8","Inventories","12,562.00","14,227.00","14,622.00","13,112.00","12,727.00","17,054.00","14,559.00"
"9","Net Property, Plant & Equipment","14,760.00","14,646.00","14,715.00","15,239.00","14,436.00","12,768.00","25,498.00"
"10","Accrued Payable","25,880.00","27,755.00","32,098.00","30,697.00","28,441.00","27,805.00","24,559.00"
"11","Short Term Debt","4,819.00","6,125.00","4,268.00","3,134.00","4,758.00","5,755.00","6,788.00"
"12","Long Term Debt","1,416.00","1,935.00","1,690.00","2,312.00","2,625.00","1,591.00","10,133.00"
"13","Net Operating Cash Flow","(2,499.00)","3,916.00","147.00","240.00","2,615.00","(12,158.00)","10,987.00"
"14","Capital Expenditures","(170.00)","(80.00)","(569.00)","(848.00)","(930.00)","(188.00)","(2,856.00)"
"15","Total Shares Outstanding (million)","580,552.00","580,552.00","580,552.00","580,552.00","580,552.00","580,552.00","580,552.00"
