"1","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1"
"2","Pretax Income","1,211,654.00","1,613,598.00","1,433,657.00","1,527,351.00","1,535,379.00","1,742,893.00","2,459,160.00","1,486,401.00","1,512,213.00","1,603,126.00"
"3","Net Income","854,385.00","1,180,258.00","1,102,464.00","1,132,224.00","1,060,229.00","1,305,874.00","1,980,783.00","1,179,718.00","1,117,135.00","1,192,042.00"
"4","Net Property, Plant & Equipment","2,204,817.00","2,239,097.00","2,223,932.00","2,172,778.00","2,120,718.00","2,107,198.00","2,074,950.00","2,228,215.00","2,574,220.00","3,356,787.00"
"5","Long Term Debt","35,149,314.00","40,352,665.00","44,804,195.00","44,616,839.00","42,681,133.00","41,168,614.00","42,224,953.00","41,869,362.00","42,511,540.00","41,197,455.00"
"6","Net Operating Cash Flow","(10,310,810.00)","7,848,331.00","(2,900,816.00)","6,567,279.00","6,444,104.00","7,370,742.00","(4,731,479.00)","1,582,942.00","(2,445,236.00)","1,608,617.00"
"7","Capital Expenditures","-","-","-","-","-","-","-","-","-","-"
"8","Total Shares Outstanding (million)","8,868,379.00","9,052,106.00","9,052,106.00","9,052,105.59","9,225,542.53","9,225,542.53","9,225,542.53","9,225,542.53","9,564,454.51","9,564,454.51"
"9","Financial Year","31-12-2009","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018"
"10","Pretax Income","3,811,877.00","4,646,750.00","5,203,142.00","5,638,311.00","5,849,229.00","4,276,423.00","3,913,993.00","4,884,144.00","6,109,985.00","7,200,667.00"
"11","Net Income","2,806,816.00","3,520,836.00","4,030,798.00","4,344,776.00","4,540,403.00","3,106,808.00","2,849,509.00","3,564,190.00","4,475,175.00","5,583,510.00"
"12","Net Property, Plant & Equipment","1,729,831.00","1,602,522.00","1,606,311.00","1,625,726.00","1,611,361.00","1,512,117.00","2,473,058.00","2,204,817.00","2,120,718.00","2,574,220.00"
"16","Long Term Debt","10,888,162.00","14,444,151.00","18,144,253.00","22,989,403.00","28,177,139.00","30,309,537.00","35,827,007.00","35,149,314.00","42,681,133.00","42,511,540.00"
"17","Net Operating Cash Flow","1,530,848.00","(2,998,548.00)","10,367,187.00","2,021,706.00","4,252,429.00","3,667,800.00","(989,671.00)","1,017,508.00","17,958,898.00","1,776,969.00"
"18","Capital Expenditures","(673,224.00)","(516,642.00)","(762,347.00)","(827,581.00)","(876,712.00)","(754,183.00)","(943,595.00)","(1,196,546.00)","(711,919.00)","(1,051,094.00)"
"19","Total Shares Outstanding (million)","7,063,531.00","7,432,773.00","7,432,772.00","7,432,771.00","7,729,346.00","8,423,746.00","8,527,267.00","8,868,379.27","9,225,542.53","9,564,454.51"
