"1","Financial Year","31-12-2009","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017"
"2","Sales/Revenue","60,475.29","214,724.58","175,017.24","1,543.36","-","81,117.16","62,582.61","46,406.74","29,040.55"
"3","Pretax Income","(77,450.60)","(37,926.29)","(53,932.85)","(25,561.00)","83,284.89","53,507.32","38,381.59","(53,376.63)","(109,955.71)"
"4","Net Income","(65,148.15)","(35,490.86)","(73,631.90)","(99,734.89)","73,598.49","48,903.85","37,827.82","(62,018.22)","(113,947.07)"
"5","Cash & Short-Term Investments","170.50","489.06","1,473.51","70.87","5,065.13","1,614.06","1,125.01","370.82","1,395.19"
"6","Cash Only","170.50","482.31","1,466.75","70.87","4,835.13","1,384.06","895.01","140.82","1,165.19"
"7","Total Accounts Receivables","71,179.31","92,225.23","44,664.55","1,071.24","1,267.06","165,631.00","157,418.07","284,183.08","293,003.19"
"8","Net Property, Plant & Equipment","11,649.27","680,599.75","634,048.96","1,214.00","367.95","4,788.19","4,352.30","1,998.57","1,383.01"
"9","Accrued Payable","40,968.90","62,126.85","71,351.47","48,006.97","8,228.48","9,488.00","20,729.21","88,575.08","105,377.51"
"10","Short Term Debt","121,985.12","86,695.29","148,005.84","81,931.78","17,726.45","22,635.50","22,529.59","22,529.59","22,529.59"
"11","Long Term Debt","38,032.06","501,572.43","383,511.66","306.53","226.26","-","-","-","-"
"12","Net Operating Cash Flow","69,583.52","55,171.29","18,162.35","20,242.89","(121,521.78)","(33,209.40)","(3,090.19)","(50,152.51)","(15,332.16)"
"13","Capital Expenditures","(277,837.86)","(57,755.84)","(5,128.73)","(6,435.71)","(302,100.00)","(1,536.96)","(21.04)","-","-"
"14","Total Shares Outstanding (million)","355,481.00","355,481.00","454,225.00","454,229.00","3,084,968.00","3,482,695.33","3,501,045.40","3,866,114.40","4,252,725.40"
