"1","Financial Year","31-01-2019       3","30-04-2019       Other","30-06-2019       Other","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       3"
"2","Sales/Revenue","1,471,199.00","1,639,019.00","1,066,571.00","1,575,925.00","1,534,169.00","1,520,849.00","529,366.00","1,455,254.00","1,474,414.00","1,239,264.00"
"3","Pretax Income","67,343.00","278,636.00","2,314.00","81,518.00","11,193.00","232,680.00","(140,009.00)","22,995.00","24,487.00","(17,206.00)"
"4","Net Income","(13,754.00)","181,475.00","(28,445.00)","(5,987.00)","(63,730.00)","144,180.00","(139,535.00)","(41,878.00)","(31,635.00)","(50,780.00)"
"5","Cash & Short-Term Investments","708,805.00","821,460.00","770,469.00","734,941.00","671,640.00","745,648.00","650,747.00","968,812.00","799,594.00","653,397.00"
"6","Cash Only","699,450.00","812,019.00","760,778.00","725,422.00","662,045.00","736,981.00","642,020.00","955,570.00","790,183.00","640,295.00"
"7","Total Accounts Receivables","1,378,062.00","1,188,757.00","1,210,507.00","1,324,808.00","1,293,599.00","1,419,271.00","2,022,249.00","1,953,566.00","1,932,098.00","2,021,244.00"
"8","Inventories","949,755.00","970,868.00","820,291.00","795,099.00","883,757.00","847,312.00","774,131.00","715,932.00","669,273.00","644,588.00"
"9","Net Property, Plant & Equipment","1,571,857.00","1,562,388.00","1,571,650.00","1,910,392.00","1,953,678.00","1,969,986.00","2,831,639.00","2,956,778.00","2,997,395.00","3,008,369.00"
"10","Accrued Payable","1,561,838.00","1,553,339.00","1,248,257.00","1,168,086.00","1,181,836.00","1,262,377.00","1,259,176.00","1,358,444.00","1,404,307.00","1,411,750.00"
"11","Short Term Debt","1,910,483.00","1,809,220.00","1,238,626.00","1,327,943.00","1,307,077.00","1,313,127.00","1,353,771.00","1,046,242.00","1,172,376.00","1,222,754.00"
"12","Long Term Debt","1,183,210.00","1,145,479.00","1,742,770.00","2,021,508.00","2,178,908.00","2,375,755.00","3,205,678.00","3,204,626.00","2,981,845.00","2,976,521.00"
"13","Net Operating Cash Flow","(50,603.00)","167,150.00","2,947.00","30,688.00","(41,725.00)","92,986.00","7,900.00","350,981.00","72,863.00","(62,882.00)"
"14","Capital Expenditures","(26,400.00)","(17,984.00)","(33,637.00)","(18,063.00)","(82,885.00)","(24,558.00)","(49,881.00)","(30,565.00)","(38,402.00)","(45,568.00)"
"15","Total Shares Outstanding (million)","4,989,394.00","4,989,394.00","4,989,394.00","4,989,394.00","4,989,394.00","4,989,394.00","4,920,500.00","4,920,500.00","4,920,500.00","4,920,500.00"
