"1","Financial Year","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       Other","31-03-2021       Other","30-06-2021       Other","30-09-2021       1"
"2","Sales/Revenue","72,198.00","61,999.00","87,340.00","63,650.00","62,043.00","50,499.00","63,328.00","45,084.00","45,899.00","270,867.00"
"3","Pretax Income","14,752.00","9,462.00","7,048.00","7,359.00","(30,754.00)","180.00","18,961.00","308.00","81,352.00","298,943.00"
"4","Net Income","12,349.00","9,482.00","(3,727.00)","6,225.00","(24,080.00)","3,851.00","15,100.00","2,152.00","116,728.00","293,564.00"
"5","Cash & Short-Term Investments","25,853.00","24,406.00","54,399.00","36,904.00","38,606.00","41,743.00","66,191.00","152,819.00","267,680.00","539,726.00"
"6","Total Accounts Receivables","228,920.00","207,510.00","175,536.00","184,228.00","204,350.00","182,926.00","149,201.00","152,711.00","135,008.00","248,096.00"
"7","Inventories","1,412.00","1,131.00","1,316.00","753.00","698.00","1,352.00","2,744.00","1,153.00","15,370.00","129,998.00"
"8","Net Property, Plant & Equipment","68,803.00","67,955.00","73,655.00","113,894.00","114,663.00","107,355.00","137,541.00","144,182.00","655,848.00","1,648,023.00"
"9","Accrued Payable","100,566.00","87,459.00","76,265.00","76,841.00","97,149.00","73,363.00","59,306.00","53,533.00","128,519.00","579,939.00"
"10","Short Term Debt","39,468.00","48,185.00","50,328.00","82,688.00","94,291.00","100,430.00","106,205.00","89,907.00","70,930.00","78,041.00"
"11","Long Term Debt","16,887.00","16,613.00","21,768.00","19,940.00","18,833.00","18,106.00","17,867.00","17,036.00","473,109.00","316,069.00"
"12","Net Operating Cash Flow","(3,701.00)","(11,264.00)","35,708.00","(3,303.00)","117.00","1,260.00","6,893.00","4,482.00","18,366.00","236,241.00"
"13","Capital Expenditures","(3,715.00)","(897.00)","(4,297.00)","(43,965.00)","(11,477.00)","(1,446.00)","(15,859.00)","(81,450.00)","(101,382.00)","(39,182.00)"
"14","Total Shares Outstanding (million)","1,758,035.48","1,758,035.48","1,758,090.48","1,758,090.48","1,758,090.48","1,758,090.48","1,908,090.48","2,227,250.21","2,709,775.13","3,090,706.29"
