"1","Financial Year","31-12-2009","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","666,635.16","827,277.77","925,639.06","789,935.85","769,920.33","1,011,625.81","1,048,284.64","1,147,793.19","1,170,846.80","967,225.49","931,288.49"
"3","Pretax Income","96,189.31","98,859.04","218,220.44","77,775.64","113,090.24","168,396.51","234,160.31","175,710.11","191,494.15","113,117.87","130,393.93"
"4","Net Income","74,393.30","74,979.54","154,650.18","57,463.66","92,962.50","123,652.86","188,244.25","125,574.02","119,497.77","75,773.43","79,617.43"
"5","Cash & Short-Term Investments","98,551.43","143,160.45","179,959.52","128,992.95","259,812.14","318,811.98","322,215.90","361,952.35","286,548.60","127,496.50","133,557.00"
"6","Cash Only","-","-","66,699.13","41,098.58","102,612.13","146,466.65","142,399.79","213,845.41","179,536.63","127,260.39","133,557.00"
"7","Total Accounts Receivables","22,265.34","28,747.91","21,847.90","53,453.58","56,749.84","40,382.80","50,713.95","75,935.63","55,256.03","58,272.37","52,499.00"
"8","Inventories","199,254.03","177,591.16","221,933.76","203,417.55","123,485.09","127,605.43","157,630.92","170,653.35","175,115.08","217,483.26","248,243.00"
"9","Net Property, Plant & Equipment","718,505.38","809,027.30","839,469.68","851,722.66","1,273,210.96","1,310,499.81","1,357,914.21","1,363,109.20","1,644,008.71","1,672,814.89","1,685,391.00"
"10","Accrued Payable","-","-","-","30,606.34","47,286.05","49,326.14","61,416.94","-","-","-","-"
"11","Short Term Debt","239,036.89","222,792.86","194,451.81","235,291.51","240,620.01","138,581.23","127,810.47","166,168.87","284,665.34","243,960.61","265,476.00"
"12","Long Term Debt","225,143.31","263,971.78","255,995.26","238,343.36","277,766.83","377,830.96","327,360.98","251,470.35","261,539.70","332,958.32","336,565.00"
"13","Net Operating Cash Flow","71,718.11","134,465.21","248,243.42","96,543.13","270,720.73","246,259.50","237,708.53","206,287.78","198,482.10","151,793.78","160,222.78"
"14","Capital Expenditures","(91,010.04)","(98,476.87)","(106,688.44)","(117,107.53)","(127,513.43)","(101,167.58)","(80,510.22)","(67,822.34)","(74,826.93)","(94,340.56)","(105,803.56)"
"15","Total Shares Outstanding (million)","444,645.00","444,577.00","444,989.00","444,646.00","444,644.00","444,677.00","444,646.00","444,644.50","444,644.50","441,319.50","441,319.50"
"16","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1","31-03-2019       1"
"17","Sales/Revenue","310,296.19","305,566.00","266,366.00","308,171.00","290,743.80","214,860.00","234,854.00","274,854.00","242,657.49","178,923.00","178,923.00"
"18","Pretax Income","42,231.11","57,555.00","57,771.00","49,166.00","27,002.15","2,273.00","22,647.00","49,315.00","46,157.93","12,274.00","12,274.00"
"19","Net Income","31,956.02","39,487.00","33,234.00","23,090.00","23,686.77","4,232.00","16,082.00","32,210.00","23,249.43","8,076.00","8,076.00"
"20","Cash & Short-Term Investments","362,861.66","308,587.00","297,273.00","296,622.00","287,468.95","182,830.00","174,457.00","177,500.00","127,496.50","133,557.00","133,557.00"
"21","Cash Only","214,754.72","293,025.00","278,611.00","283,673.00","272,859.06","134,310.00","139,540.00","140,034.00","127,260.39","133,557.00","133,557.00"
"22","Total Accounts Receivables","75,935.63","62,295.00","64,824.00","84,082.00","55,256.03","53,422.00","45,971.00","50,622.00","58,272.37","52,499.00","52,499.00"
"23","Inventories","170,653.35","177,863.00","191,712.00","194,313.00","175,115.08","214,232.00","236,102.00","244,450.00","217,483.26","248,243.00","248,243.00"
"24","Net Property, Plant & Equipment","1,363,109.20","1,733,166.00","1,722,283.00","1,713,112.00","1,644,008.71","1,646,640.00","1,627,513.00","1,638,217.00","1,672,814.89","1,685,391.00","1,685,391.00"
"25","Short Term Debt","166,168.87","258,013.00","352,216.00","336,648.00","284,665.34","355,553.00","351,900.00","333,076.00","243,960.61","265,476.00","265,476.00"
"26","Long Term Debt","251,470.35","346,374.00","255,291.00","263,160.00","261,539.70","275,770.00","260,358.00","251,754.00","332,958.32","336,565.00","336,565.00"
"27","Net Operating Cash Flow","35,620.78","53,235.00","30,403.00","51,075.00","63,769.10","4,165.00","59,036.00","53,704.00","34,888.78","12,594.00","12,594.00"
"28","Capital Expenditures","(26,869.34)","(17,562.00)","(17,605.00)","(15,357.00)","(24,302.93)","(13,584.00)","(20,799.00)","(18,085.00)","(41,872.56)","(25,047.00)","(25,047.00)"
"29","Total Shares Outstanding (million)","444,644.00","444,644.00","444,644.00","444,644.50","444,644.50","444,644.50","444,644.50","444,644.50","441,319.50","441,319.50","441,319.50"
