"1","Financial Year","31-12-2018       4","31-03-2019       Other","30-06-2019       1","30-09-2019       2","31-12-2019       3","31-03-2020       4","30-06-2020       1","30-09-2020       2","31-12-2020       3","31-03-2021       4"
"2","Sales/Revenue","526,430.00","430,013.62","338,812.00","446,359.00","648,782.00","493,166.17","396,518.00","517,536.00","603,557.00","381,030.00"
"3","Pretax Income","(30,611.00)","(13,054.57)","(22,139.00)","3,219.00","19,238.00","8,285.32","6,252.00","25,766.00","33,325.00","23,375.00"
"4","Net Income","(29,649.00)","(4,388.98)","(17,580.00)","1,335.00","13,549.00","7,740.91","4,415.00","19,478.00","24,565.00","16,326.00"
"5","Cash & Short-Term Investments","151,307.00","158,685.56","61,510.00","171,442.00","119,095.00","144,005.00","148,166.00","193,194.00","209,949.00","-"
"6","Cash Only","-","158,685.56","-","-","-","-","-","-","-","-"
"7","Total Accounts Receivables","95,116.00","91,515.42","124,763.00","62,733.00","107,238.00","108,192.00","90,879.00","124,702.00","138,947.00","94,777.00"
"8","Inventories","193,045.00","141,507.29","142,342.00","194,886.00","139,170.00","154,299.00","135,243.00","137,987.00","49,937.00","134,083.00"
"9","Net Property, Plant & Equipment","650,467.00","662,581.10","673,671.00","681,136.00","687,158.00","706,603.00","708,718.00","705,241.00","710,048.00","706,960.00"
"10","Accrued Payable","112,850.00","90,375.58","101,882.00","140,519.00","122,727.00","126,688.00","110,780.00","136,968.00","111,483.00","118,946.00"
"11","Short Term Debt","247,752.00","248,792.45","196,307.00","269,983.00","212,550.00","247,066.00","228,811.00","261,847.00","213,277.00","280,079.00"
"12","Long Term Debt","101,924.00","99,548.89","112,683.00","108,300.00","108,081.00","115,934.00","121,311.00","115,758.00","103,358.00","105,334.00"
"13","Net Operating Cash Flow","46,458.00","29,965.77","(31,720.00)","61,991.00","27,290.00","15,657.00","35,742.00","24,427.00","98,673.00","630.00"
"14","Capital Expenditures","(21,895.00)","(18,732.21)","(20,963.00)","(17,789.00)","(18,152.00)","(31,786.00)","(12,908.00)","(9,932.00)","(16,747.00)","(10,439.00)"
"15","Total Shares Outstanding (million)","93,500.00","93,500.00","93,500.00","93,500.00","93,500.00","93,500.00","93,500.00","93,500.00","93,500.00","93,500.00"
