"1","Financial Year","30-09-2019       3","31-12-2019       Other","31-03-2020       Other","30-06-2020       Other","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       4","30-09-2021       1","31-12-2021       2"
"2","Sales/Revenue","71,071.87","74,182.65","50,792.63","41,904.22","25,066.27","73,793.65","66,421.35","64,016.29","89,499.08","74,986.87"
"3","Pretax Income","8,756.78","7,605.57","5,087.30","1,194.58","899.16","5,260.81","(4,907.47)","(23,363.43)","868.14","(31,324.56)"
"4","Net Income","4,875.48","4,608.33","2,996.22","229.10","201.24","2,343.61","(5,385.12)","(19,553.19)","794.12","(29,832.57)"
"5","Cash & Short-Term Investments","489,484.63","498,433.58","528,257.83","522,478.43","552,231.07","514,587.11","490,940.64","535,946.22","551,655.49","568,234.80"
"6","Cash Only","-","-","-","-","552,231.07","514,587.11","-","-","-","-"
"7","Total Accounts Receivables","89,538.64","91,642.75","76,297.97","71,020.19","62,118.84","96,288.40","101,105.15","90,995.21","126,485.02","84,806.08"
"8","Inventories","1,510.01","1,669.24","1,570.90","1,135.79","4,741.06","55,658.98","36,567.84","6,555.44","2,416.77","545.40"
"9","Net Property, Plant & Equipment","309,189.51","308,896.35","319,197.82","315,361.65","315,983.01","316,106.92","322,765.67","324,200.83","325,047.21","326,283.46"
"10","Accrued Payable","56,498.70","60,636.06","51,671.58","40,236.90","38,524.86","81,770.80","32,472.69","41,528.92","79,009.96","67,408.93"
"11","Short Term Debt","7,260.24","7,283.12","7,552.99","7,515.36","7,584.72","-","-","-","-","8,128.59"
"12","Long Term Debt","-","-","-","-","-","-","-","-","-","-"
"13","Net Operating Cash Flow","12,207.84","46,416.70","38,915.55","35,169.48","4,002.16","(33,671.92)","(37,715.75)","35,591.73","9,707.99","3,383.62"
"14","Capital Expenditures","(59.12)","(2,543.09)","(3,546.86)","(3,529.19)","-","(207.62)","(1,046.92)","(20.03)","(5.84)","(623.47)"
"15","Total Shares Outstanding (million)","1,804,884.00","1,804,884.00","1,804,884.00","1,804,884.00","2,075,614.76","2,116,224.66","2,116,225.64","2,116,225.64","2,116,225.00","2,116,225.00"
