"1","Financial Year","31-05-2010","31-05-2011","31-05-2012","31-05-2013","31-05-2014","31-05-2015","31-05-2016","31-07-2017","31-07-2018","30-04-2019       TTM"
"2","Sales/Revenue","108,761.17","118,631.65","129,278.41","145,551.72","149,111.38","166,850.08","147,100.92","155,763.03","89,219.16","72,499.16"
"3","Pretax Income","4,048.11","3,540.26","(4,122.71)","831.80","1,023.16","(2,178.62)","(4,200.06)","2,381.64","(4,657.68)","(4,977.68)"
"4","Net Income","3,021.68","2,179.89","(4,013.73)","322.02","749.93","(2,034.11)","(3,588.99)","1,413.36","(2,773.29)","(2,909.29)"
"5","Cash & Short-Term Investments","20,470.57","11,672.16","10,090.13","11,692.89","10,956.60","10,519.18","12,204.26","8,238.91","6,144.37","5,751.84"
"6","Cash Only","3,727.98","2,960.13","3,299.36","3,576.67","-","-","-","-","6,144.37","1,536.09"
"7","Total Accounts Receivables","28,120.90","31,177.24","28,007.70","25,142.82","27,183.86","24,812.12","27,416.18","27,074.03","22,495.08","21,070.27"
"8","Inventories","21,716.21","21,876.82","25,660.31","34,578.36","38,240.06","38,654.03","44,992.59","37,813.71","33,732.00","35,643.25"
"9","Net Property, Plant & Equipment","26,585.07","33,219.52","39,153.55","34,694.45","34,218.91","40,696.89","44,138.27","41,731.32","43,601.77","41,608.94"
"10","Accrued Payable","-","-","-","-","10,257.79","15,554.69","17,537.09","16,966.14","-","9,993.81"
"11","Short Term Debt","32,832.79","33,252.42","32,944.25","35,908.31","37,926.08","38,125.51","44,278.84","34,634.20","29,881.83","28,982.96"
"12","Long Term Debt","2,466.44","2,050.60","10,071.83","14,076.90","14,261.73","13,247.49","14,382.64","9,424.39","7,680.24","6,997.56"
"13","Net Operating Cash Flow","14,716.92","663.42","2,762.69","216.64","3,576.41","11,509.43","(4,543.62)","16,564.69","5,562.22","4,374.22"
"14","Capital Expenditures","(16,667.08)","(6,313.09)","(9,181.55)","(1,546.15)","(1,957.98)","(7,378.45)","(6,803.36)","(1,075.36)","(6,059.23)","(2,721.23)"
"15","Total Shares Outstanding (million)","90,000.00","90,000.00","90,000.00","90,000.00","90,000.00","90,000.00","120,000.00","120,000.00","132,138.90","132,138.90"
