"1","Financial Year","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       Other","31-12-2020       Other","31-03-2021       Other","30-06-2021       Other","30-09-2021       Other","31-12-2021       Other"
"2","Sales/Revenue","155,352.00","155,798.00","140,800.00","104,925.00","107,443.00","95,770.00","104,266.00","103,394.00","106,888.00","157,797.00"
"3","Pretax Income","78,824.00","77,202.00","65,663.00","(14,382.00)","34,398.00","33,496.00","36,817.00","33,521.00","41,059.00","15,343.00"
"4","Net Income","78,824.00","77,202.00","65,663.00","(13,482.00)","34,398.00","33,496.00","36,817.00","33,521.00","41,059.00","16,193.00"
"5","Cash & Short-Term Investments","169,103.00","175,888.00","134,770.00","281,526.00","237,752.00","444,502.00","423,449.00","378,434.00","362,045.00","340,534.00"
"6","Cash Only","69,395.00","76,118.00","54,948.00","101,816.00","137,765.00","444,502.00","423,449.00","378,434.00","312,153.00","290,543.00"
"7","Total Accounts Receivables","32,569.00","40,809.00","31,289.00","108,615.00","96,014.00","69,472.00","66,588.00","73,893.00","70,989.00","48,065.00"
"8","Net Property, Plant & Equipment","12,864.00","12,994.00","12,842.00","12,902.00","13,562.00","12,707.00","12,688.00","12,263.00","11,958.00","12,427.00"
"9","Short Term Debt","3,191,429.00","3,226,352.00","3,157,198.00","3,245,418.00","3,248,825.00","1,217,645.00","993,507.00","1,194,095.00","1,197,438.00","1,595,396.00"
"10","Long Term Debt","-","-","-","200,000.00","200,000.00","2,200,000.00","2,400,000.00","2,200,000.00","2,200,000.00","1,810,861.00"
"11","Net Operating Cash Flow","95,490.00","109,322.00","117,597.00","22,498.00","66,554.00","60,181.00","90,283.00","67,073.00","117,302.00","215,502.00"
"12","Capital Expenditures","(1,570.00)","59.00","(500.00)","(279.00)","(1,090.00)","134.00","(266.00)","(511.00)","(776.00)","(958.00)"
"13","Total Shares Outstanding (million)","2,945,078.00","2,945,078.00","2,945,078.00","2,945,078.00","2,945,078.00","3,424,808.00","3,424,808.00","3,424,808.00","3,424,808.00","3,424,808.00"
