"1","Financial Year","30-11-2019       Other","29-02-2020       1","31-05-2020       2","31-08-2020       3","30-11-2020       4","28-02-2021       1","31-05-2021       2","31-08-2021       3","30-11-2021       4","28-02-2022       1"
"2","Sales/Revenue","38,645.00","21,665.00","9,267.00","14,081.00","14,237.57","7,444.00","4,830.00","500.00","3,427.44","863.00"
"3","Pretax Income","(5,199.00)","(778.00)","(3,052.00)","(5,971.00)","(8,355.75)","(1,377.00)","(1,016.00)","(1,580.00)","18,177.73","(487.00)"
"4","Net Income","(5,427.00)","(778.00)","(3,060.00)","(5,975.00)","(8,410.34)","(1,378.00)","(1,019.00)","(1,579.00)","16,580.99","(487.00)"
"5","Cash & Short-Term Investments","6,042.00","2,200.00","1,655.00","1,693.00","2,234.00","797.00","9,251.00","4,603.00","7,091.00","4,776.00"
"6","Total Accounts Receivables","50,235.00","55,410.00","54,161.00","43,195.00","30,505.00","28,750.00","23,485.00","17,233.00","18,077.00","22,945.00"
"7","Inventories","173.00","228.00","347.00","578.00","-","-","-","-","-","-"
"8","Net Property, Plant & Equipment","7,100.00","6,830.00","6,555.00","8,057.00","33,600.00","33,287.00","32,809.00","32,262.00","31,749.00","31,240.00"
"9","Accrued Payable","-","33,298.00","39,389.00","30,823.00","29,759.00","31,259.00","24,477.00","23,435.00","22,516.00","39,753.00"
"10","Short Term Debt","8,732.00","12,216.00","7,051.00","9,630.00","8,787.00","10,529.00","8,407.00","4,819.00","5,751.00","1,751.00"
"11","Long Term Debt","8,297.00","8,177.00","8,297.00","8,217.00","17,148.00","16,119.00","16,650.00","16,421.00","17,922.00","38,865.00"
"12","Net Operating Cash Flow","938.00","(5,889.00)","4,771.00","(3,045.00)","19,874.00","1,874.00","(1,488.00)","5,128.00","(5,725.00)","(5,109.00)"
"13","Capital Expenditures","(1,356.00)","-","-","(1,822.00)","(27,097.00)","(4,000.00)","3,964.00","32.00","-","-"
"14","Total Shares Outstanding (million)","480,137.80","536,459.10","536,459.10","590,118.50","590,118.50","597,657.30","671,140.80","672,140.80","744,203.80","744,203.80"
