"1","Financial Year","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-03-2018  TTM"
"2","Sales/Revenue","57,315.00","191,843.76","296,707.54","376,389.14","466,841.69","367,651.34","360,836.25","282,099.12","241,705.00"
"3","Pretax Income","18,763.00","46,795.90","78,985.73","115,402.59","136,944.32","133,897.32","146,217.79","109,741.94","95,136.00"
"4","Equity in Earnings of Affiliates","0.00","(35.14)","0.00","2,305.97","1,297.45","1,847.39","2,547.50","868.20","0.00"
"5","Consolidated Net Income","14,102.00","33,694.40","57,048.43","87,755.96","103,335.17","101,945.68","113,228.49","84,261.54","70,962.00"
"6","Cash & Short Term Investments","43,289.00","39,290.71","95,972.42","125,939.20","138,147.38","183,918.00","120,835.58","105,284.34","105,284.34"
"7","Cash Only","42,997.00","34,692.54","74,933.16","111,393.03","103,215.28","148,424.46","70,561.39","87,932.60","87,932.60"
"8","Total Accounts Receivable","31,349.00","66,499.07","71,950.84","88,177.77","120,474.00","95,634.17","92,756.87","117,758.90","117,758.90"
"9","Inventories","64,041.00","116,089.46","139,210.20","125,481.22","74,867.31","128,098.35","205,014.22","210,860.19","210,860.19"
"10","Net Property, Plant & Equipment","13,008.00","87,039.42","71,814.45","81,901.28","218,590.05","211,491.62","164,443.11","151,133.17","151,133.17"
"11","Short-Term Debt (incl. Current Portion of LTD)","8,115.00","6,014.27","6,707.62","24,845.17","35,251.88","49,439.23","40,789.81","37,889.10","37,889.10"
"12","Accounts Payable","16,511.00","22,204.66","25,904.53","25,998.15","32,978.74","92,752.11","53,348.96","32,618.07","32,618.07"
"13","Long Term Debt","8,227.00","71,938.09","77,117.75","73,323.37","117,703.71","138,969.92","97,365.57","68,536.33","68,536.33"
"14","Accumulated Minority Interest - Total","14,137.00","32,033.02","38,701.90","3,515.26","2,409.13","2,736.55","2,561.98","1,879.80","1,879.80"
"15","Net Operating Cash Flow","(26,255.00)","(45,369.88)","81,763.17","54,248.13","(11,042.14)","95,092.22","33,052.66","55,531.86","71,530.86"
"16","Capital Expenditures (Total)","(432.00)","(780.95)","(1,350.05)","(327.24)","(497.50)","(1,885.31)","(121.28)","(140.08)","(69.08)"
"17","Dividends per Share (Cent)","0.00","0.08","0.05","0.07","0.10","0.09","0.10","0.08","0.08"
"18","Total Shares Outstanding","231,070.88","231,070.88","310,843.00","394,225.78","420,779.02","424,147.82","427,351.16","433,302.52","433,302.52"
"19","Dividend Yield (%)","0.00","13.94","7.02","4.37","5.99","6.38","7.19","7.55","7.55"
"20","Financial Year","31-12-2015 Q4","31-03-2016 Q1","30-06-2016 Q2","30-09-2016 Q3","31-12-2016 Q4","31-03-2017 Q1","30-06-2017 Q2","30-09-2017 Q3","31-12-2017 Q4"
"21","Sales/Revenue","91,050.00","89,315.00","104,332.00","85,435.00","81,754.00","80,473.00","70,118.00","70,973.00","60,535.00"
"22","Pretax Income","37,003.00","32,030.00","43,975.00","31,976.00","38,237.00","31,538.00","26,500.00","31,625.00","20,079.00"
"23","Equity in Earnings of Affiliates","2,312.00","26.00","213.00","198.00","2,110.00","223.00","299.00","205.00","141.00"
"24","Consolidated Net Income","30,368.00","23,846.00","28,752.00","25,516.00","35,114.00","23,997.00","20,303.00","23,880.00","15,419.00"
"25","Cash & Short Term Investments","183,918.00","203,915.00","185,132.00","150,370.00","120,835.58","124,518.00","96,171.00","75,243.00","105,284.34"
"26","Cash Only","148,424.46","164,388.00","110,169.00","97,880.00","70,561.39","91,059.00","62,029.00","64,404.00","87,932.60"
"27","Total Accounts Receivable","95,634.17","119,343.00","106,190.00","99,109.00","92,756.87","96,403.00","137,757.00","146,454.00","117,758.90"
"28","Inventories","128,098.35","128,870.00","128,095.00","142,267.00","205,014.22","212,069.00","209,713.00","207,432.00","210,860.19"
"29","Net Property, Plant & Equipment","211,491.62","213,462.00","215,432.00","215,750.00","164,443.11","165,151.00","165,091.00","164,734.00","151,133.17"
"30","Short-Term Debt (incl. Current Portion of LTD)","49,439.23","61,557.00","51,170.00","36,080.00","40,789.81","49,008.00","44,164.00","34,841.00","37,889.10"
"31","Accounts Payable","92,752.11","134,623.00","111,833.00","82,170.00","53,348.96","56,406.00","84,072.00","54,350.00","32,618.07"
"32","Long Term Debt","138,969.92","122,753.00","111,712.00","104,542.00","97,365.57","90,177.00","82,978.00","75,768.00","68,536.33"
"33","Accumulated Minority Interest - Total","2,736.55","2,964.00","2,550.00","2,841.00","2,561.98","2,564.00","2,177.00","1,878.00","1,879.80"
"34","Net Operating Cash Flow","69,466.22","36,945.00","3,380.00","11,709.00","(18,981.34)","14,838.00","(18,666.00)","26,120.00","33,239.86"
"35","Capital Expenditures (Total)","(48.31)","(13.00)","0.00","(25.00)","(83.28)","(71.00)","(36.00)","(19.00)","(14.08)"
"36","Dividends per Share (Cent)","0.06","0.00","0.03","0.00","0.07","0.00","0.03","0.00","0.05"
"37","Total Shares Outstanding","424,147.82","424,465.82","425,293.92","426,741.86","427,351.16","428,417.76","433,186.52","433,302.52","433,302.52"
