"1","Financial Year","31-01-2018       Other","30-04-2018       1","31-07-2018       2","31-10-2018       3","31-01-2019       4","31-07-2019       1","31-10-2019       2","31-01-2020       3","30-04-2020       4","31-07-2020       1"
"2","Sales/Revenue","201.00","600.00","636.00","68.00","500.00","-","-","-","496.50","-"
"3","Pretax Income","(16,969.00)","(386.00)","(2,153.00)","(29,006.00)","(5,181.00)","(31.00)","717.00","(459.00)","(7,463.91)","(43.00)"
"4","Net Income","(16,408.00)","(386.00)","(2,153.00)","(29,006.00)","40,678.00","(31.00)","717.00","(459.00)","(7,579.21)","(43.00)"
"5","Cash & Short-Term Investments","2,358.79","1,530.00","149.00","38.00","20.00","12.00","18.00","58.00","14.00","16.00"
"6","Cash Only","2,358.79","1,530.00","149.00","38.00","20.00","12.00","18.00","58.00","14.00","16.00"
"7","Total Accounts Receivables","10,114.26","11,225.00","32,150.00","5,347.00","232.00","472.00","618.00","792.00","269.00","847.00"
"8","Inventories","521.12","-","-","-","-","-","-","-","-","-"
"9","Net Property, Plant & Equipment","12,220.17","10,788.00","9,682.00","8,869.00","8,487.00","6,327.00","6,224.00","6,113.00","3,475.00","512.00"
"10","Short Term Debt","749.70","1,938.00","445.00","445.00","-","-","-","-","867.00","169.00"
"11","Long Term Debt","1,196.75","-","-","-","-","-","-","-","-","712.00"
"12","Net Operating Cash Flow","(10,422.06)","(820.00)","1,159.00","2,052.00","(1,608.00)","(50.00)","(704.00)","(4.00)","(1,143.00)","2.00"
"13","Capital Expenditures","(11,339.19)","-","-","(409.00)","(4.00)","-","-","-","-","-"
"14","Total Shares Outstanding (million)","1,342,421.66","1,342,422.00","1,342,422.00","1,342,422.00","1,342,422.00","1,342,422.00","1,342,422.00","1,342,422.00","1,342,422.00","1,342,422.00"
