"1","Financial Year","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","30-06-2019       TTM","30-06-2019       TTM"
"2","Sales/Revenue","22,539.00","346,524.00","375,509.00","402,092.00","413,932.00","459,701.00","490,001.00","554,977.00","583,448.00","583,448.00"
"3","Pretax Income","12,376.00","630,205.00","327,250.00","510,475.00","282,337.00","312,143.00","249,447.00","288,684.00","290,987.00","290,987.00"
"4","Net Income","12,376.00","630,205.00","327,250.00","510,475.00","282,337.00","312,143.00","249,447.00","288,684.00","290,987.00","290,987.00"
"5","Cash & Short-Term Investments","112,595.00","196,866.00","207,569.00","205,540.00","184,006.00","317,071.00","275,383.00","379,768.00","355,559.25","355,559.25"
"6","Cash Only","186.00","-","3,536.00","2,539.00","4,738.00","18,938.00","18,706.00","36,116.00","15,330.25","15,330.25"
"7","Total Accounts Receivables","2,882.00","7,634.00","10,179.00","7,445.00","15,276.00","38,546.00","39,451.00","72,488.00","81,230.75","81,230.75"
"8","Inventories","851.00","1,104.00","1,215.00","1,228.00","1,237.00","1,315.00","1,554.00","2,084.00","1,946.75","1,946.75"
"9","Net Property, Plant & Equipment","3,567.00","3,030.00","2,586.00","1,835.00","1,360.00","1,958.00","2,129.00","1,570.00","1,510.50","1,510.50"
"10","Accrued Payable","22,880.00","-","27,414.00","30,661.00","33,371.00","122,552.00","113,347.00","86,262.00","174,211.00","174,211.00"
"11","Short Term Debt","-","-","-","-","-","-","-","715,959.00","253,989.75","253,989.75"
"12","Long Term Debt","704,397.00","705,442.00","706,483.00","707,525.00","754,333.00","1,412,351.00","1,462,681.00","1,431,874.00","1,906,747.00","1,906,747.00"
"13","Net Operating Cash Flow","37,198.00","240,882.00","258,519.00","271,531.00","278,372.00","322,689.00","294,851.00","276,359.00","345,175.00","345,175.00"
"14","Capital Expenditures","(3,608.00)","(198.00)","(8,153.00)","(21,888.00)","(13,203.00)","(15,697.00)","(23,229.00)","(3,520.00)","-","-"
"15","Total Shares Outstanding (million)","3,000,000.00","3,004,115.00","3,009,684.00","3,013,819.00","3,017,842.00","3,022,525.00","3,030,094.00","3,036,705.00","3,039,020.00","3,022,525.00"
