"1","Financial Year","30-06-2016       2","30-09-2016       3","31-12-2016       4","31-03-2017       1","30-06-2017       2"
"2","Sales/Revenue","71,371.85","78,872.65","82,076.75","76,016.93","78,408.08"
"3","Pretax Income","10,768.82","18,801.42","(19,493.98)","22,949.11","(9,873.48)"
"4","Net Income","7,820.58","12,689.39","(28,658.04)","16,821.38","(7,335.33)"
"5","Cash & Short-Term Investments","1,163,744.58","1,209,260.46","1,197,769.06","1,215,377.54","1,186,302.34"
"6","Cash Only","1,163,744.58","1,209,260.46","1,197,769.06","1,215,377.54","1,186,302.34"
"7","Total Accounts Receivables","156,097.37","169,983.61","206,775.95","167,869.31","142,103.10"
"8","Inventories","11,848.67","12,909.98","10,123.87","13,101.29","32,127.59"
"9","Net Property, Plant & Equipment","332,543.53","328,280.38","333,921.83","387,854.56","381,654.87"
"10","Long Term Debt","-","-","-","-","-"
"11","Net Operating Cash Flow","16,513.50","19,969.24","(55,612.85)","86,544.76","651.92"
"12","Capital Expenditures","-","-","-","(66,671.08)","(8,367.15)"
"13","Total Shares Outstanding (million)","1,232,760.00","1,232,760.00","1,232,760.00","1,232,760.00","1,232,759.69"
