"1","Financial Year","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","115,285.00","430,726.00","461,768.00","489,190.00","507,344.00","524,918.00","535,689.00","540,131.00"
"3","Pretax Income","153,292.00","311,945.00","317,617.00","253,998.00","277,836.00","343,366.00","333,753.00","334,379.00"
"4","Net Income","153,292.00","311,945.00","317,617.00","253,998.00","277,836.00","343,366.00","333,753.00","334,379.00"
"5","Cash & Short-Term Investments","111,311.00","189,712.00","203,801.00","217,456.00","244,013.00","285,208.00","207,123.00","197,490.00"
"6","Cash Only","5,799.00","18,979.00","16,329.00","26,975.00","29,654.00","44,099.00","15,136.00","197,490.00"
"7","Total Accounts Receivables","33,206.00","12,963.00","12,821.00","12,922.00","12,216.00","17,057.00","19,794.00","32,578.00"
"8","Net Property, Plant & Equipment","12,266.00","11,202.00","11,872.00","11,740.00","10,456.00","10,220.00","7,964.00","7,359.00"
"9","Accrued Payable","10,071.00","-","-","-","-","-","-","223,276.00"
"10","Short Term Debt","27,606.00","27,606.00","27,319.00","36,752.00","28,053.00","14,900.00","14,900.00","1,736.00"
"11","Long Term Debt","1,193,382.00","1,194,909.00","1,196,267.00","1,196,363.00","1,209,176.00","1,198,765.00","1,199,025.00","1,199,090.00"
"12","Net Operating Cash Flow","151,253.00","307,640.00","322,580.00","353,001.00","357,283.00","376,871.00","383,808.00","383,021.00"
"13","Capital Expenditures","(12,672.00)","(749.00)","(2,811.00)","(2,667.00)","(1,426.00)","(2,432.00)","(580.00)","(464.00)"
"14","Total Shares Outstanding (million)","3,400,000.00","3,422,620.00","3,447,328.00","3,471,789.00","3,493,474.00","3,513,452.00","3,534,810.00","3,539,822.00"
"15","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3"
"16","Pretax Income","70,290.00","75,394.00","67,716.00","83,129.00","117,127.00","82,251.00","70,180.00","75,814.00"
"16","Sales/Revenue","125,654.00","133,655.00","127,321.00","129,588.00","134,354.00","136,790.00","127,968.00","133,725.00"
"17","Net Income","70,290.00","75,394.00","67,716.00","83,129.00","117,127.00","82,251.00","70,180.00","75,814.00"
"18","Cash & Short-Term Investments","274,395.00","187,253.00","283,950.00","190,146.00","285,208.00","186,125.00","188,313.00","186,338.00"
"19","Cash Only","274,395.00","187,253.00","283,950.00","190,146.00","285,208.00","186,125.00","188,313.00","186,338.00"
"20","Total Accounts Receivables","19,406.00","24,012.00","21,787.00","21,797.00","25,300.00","26,588.00","25,096.00","28,424.00"
"21","Net Property, Plant & Equipment","10,456.00","11,013.00","10,497.00","10,275.00","10,220.00","9,735.00","9,054.00","8,466.00"
"22","Accrued Payable","220,590.00","61,747.00","65,503.00","75,998.00","244,633.00","151,619.00","139,124.00","143,765.00"
"23","Short Term Debt","28,053.00","14,919.00","1,210,152.00","1,591.00","14,900.00","1,736.00","14,900.00","1,591.00"
"24","Long Term Debt","1,209,176.00","1,209,735.00","28,270.00","1,198,700.00","1,198,765.00","1,198,830.00","1,198,895.00","1,198,960.00"
"25","Net Operating Cash Flow","93,161.00","88,962.00","95,687.00","97,338.00","94,884.00","96,319.00","88,582.00","98,390.00"
"26","Capital Expenditures","98.00","(1,193.00)","(93.00)","(540.00)","(606.00)","(174.00)","(66.00)","(139.00)"
"27","Total Shares Outstanding (million)","3,493,474.00","3,498,354.00","3,503,436.00","3,508,221.00","3,513,452.00","3,518,822.00","3,524,581.00","3,529,642.00"
