"1","Financial Year","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-03-2020       TTM","","","",""
"2","Sales/Revenue","344,329.95","426,189.18","410,226.79","391,647.44","205,408.57","-","","","",""
"3","Pretax Income","86,674.13","108,861.45","105,167.70","81,529.89","(49,109.89)","(675.71)","","","",""
"4","Net Income","64,433.46","76,533.16","77,302.22","43,309.70","(77,164.02)","(675.71)","","","",""
"5","Cash & Short-Term Investments","107,342.16","210,542.26","246,692.50","285,120.03","229,363.80","20.55","","","",""
"6","Cash Only","107,342.16","161,823.29","167,831.65","285,120.03","229,363.80","20.55","","","",""
"7","Total Accounts Receivables","62,709.69","75,192.85","107,594.92","189,148.29","188,447.18","-","","","",""
"8","Inventories","6,570.73","8,387.78","8,839.17","6,930.50","5,877.07","-","","","",""
"9","Net Property, Plant & Equipment","46,048.57","78,333.60","79,798.73","89,983.54","84,195.31","-","","","",""
"10","Short Term Debt","5,937.26","-","-","-","-","-","","","",""
"11","Long Term Debt","-","-","-","-","-","-","","","",""
"12","Net Operating Cash Flow","81,427.26","69,290.82","36,168.96","3,672.74","(62,850.82)","(0.01)","","","",""
"13","Capital Expenditures","(611.88)","(29,817.09)","(1,206.01)","(249.12)","(15.50)","-","","","",""
"14","Total Shares Outstanding (million)","968,990.00","1,139,990.88","1,139,990.88","1,161,588.00","1,161,588.00","1,361,969.08","1,139,990.88","169,324.50","",""
