"1","Financial Year","31-03-2009","31-03-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","861,221.00","881,337.00","745,894.00","1,178,311.00","1,278,752.00","1,353,516.00","1,340,229.00","1,343,546.00","1,366,751.00","1,405,941.00","1,414,275.00"
"3","Pretax Income","1,032,204.00","1,291,476.00","1,598,625.00","2,193,496.00","1,147,878.00","1,280,459.00","1,518,355.00","1,102,698.00","1,115,331.00","964,093.00","969,801.00"
"4","Net Income","535,650.00","647,583.00","657,596.00","1,464,097.00","825,504.00","458,623.00","542,751.00","339,038.00","350,256.00","284,253.00","286,385.00"
"5","Cash & Short-Term Investments","574,080.00","598,507.00","699,692.00","1,010,370.00","1,081,870.00","1,127,072.00","1,046,673.00","959,429.00","320,065.00","296,324.00","758,188.00"
"6","Cash Only","47,999.00","3,190.00","3,685.00","12,641.00","1,081,870.00","1,127,072.00","-","5,062.00","16,244.00","9,919.00","758,188.00"
"7","Total Accounts Receivables","68,456.00","63,705.00","73,255.00","55,206.00","186,153.00","87,231.00","62,992.00","79,931.00","59,872.00","61,301.00","63,457.00"
"8","Inventories","654.00","845.00","1,445.00","1,333.00","1,568.00","2,004.00","1,837.00","1,930.00","1,743.00","1,613.00","1,624.00"
"9","Net Property, Plant & Equipment","885,240.00","1,020,677.00","609,476.00","598,235.00","611,735.00","609,675.00","639,381.00","636,674.00","667,237.00","673,620.00","671,279.00"
"10","Short Term Debt","194,432.00","216,101.00","42,732.00","48,548.00","756,563.00","356,542.00","28,459.00","319,264.00","25,411.00","427,548.00","450,942.00"
"11","Long Term Debt","1,908,266.00","1,782,819.00","2,315,565.00","2,311,447.00","1,569,449.00","2,155,000.00","2,532,166.00","2,233,166.00","2,225,666.00","1,817,166.00","1,817,828.00"
"12","Net Operating Cash Flow","547,031.00","578,246.00","445,006.00","788,446.00","913,926.00","842,906.00","932,243.00","916,353.00","954,149.00","915,177.00","952,038.00"
"13","Capital Expenditures","(78,937.00)","(159,078.00)","(247,761.00)","(52,216.00)","(93,462.00)","(68,201.00)","(153,014.00)","(141,515.00)","(101,279.00)","(76,575.00)","(34,920.00)"
"14","Total Shares Outstanding (million)","934,074.00","934,074.00","934,074.00","934,074.00","1,805,333.00","1,805,333.00","1,805,333.00","1,805,333.00","1,805,333.00","1,805,333.00","1,805,333.08"
"15","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1","31-03-2019       1"
"16","Pretax Income","406,149.00","229,380.00","230,077.00","233,058.00","422,816.00","233,887.00","232,735.00","234,516.00","262,955.00","239,595.00","239,595.00"
"16","Sales/Revenue","344,689.00","336,657.00","337,519.00","340,503.00","352,072.00","345,112.00","345,001.00","349,480.00","366,348.00","353,446.00","353,446.00"
"17","Net Income","141,233.00","66,597.00","65,131.00","66,732.00","151,796.00","67,924.00","67,655.00","68,826.00","79,848.00","70,056.00","70,056.00"
"18","Cash & Short-Term Investments","1,015,220.00","1,026,394.00","873,963.00","893,320.00","750,262.00","737,059.00","706,213.00","754,543.00","735,724.00","758,188.00","758,188.00"
"19","Cash Only","1,015,220.00","1,026,394.00","873,963.00","893,320.00","750,262.00","737,059.00","706,213.00","754,543.00","735,724.00","758,188.00","758,188.00"
"20","Total Accounts Receivables","79,931.00","55,562.00","50,804.00","69,417.00","59,872.00","66,452.00","71,128.00","64,847.00","61,301.00","63,457.00","63,457.00"
"21","Inventories","1,930.00","1,881.00","1,919.00","1,807.00","1,743.00","1,634.00","1,589.00","1,413.00","1,613.00","1,624.00","1,624.00"
"22","Net Property, Plant & Equipment","636,674.00","642,013.00","646,769.00","657,296.00","667,237.00","674,122.00","676,473.00","674,321.00","673,620.00","671,279.00","671,279.00"
"23","Short Term Debt","319,264.00","343,738.00","25,136.00","46,693.00","25,411.00","48,489.00","427,107.00","448,129.00","427,548.00","450,942.00","450,942.00"
"24","Long Term Debt","2,233,166.00","2,233,166.00","2,225,666.00","2,225,666.00","2,225,666.00","2,225,666.00","1,817,166.00","1,817,166.00","1,817,166.00","1,817,828.00","1,817,828.00"
"25","Net Operating Cash Flow","246,485.00","231,867.00","228,904.00","238,776.00","254,602.00","221,585.00","217,170.00","237,476.00","238,946.00","258,446.00","258,446.00"
"26","Capital Expenditures","(23,208.00)","(12,941.00)","(12,402.00)","(18,317.00)","(20,063.00)","(16,103.00)","(12,341.00)","(6,890.00)","(10,138.00)","(5,551.00)","(5,551.00)"
"27","Total Shares Outstanding (million)","1,805,333.00","1,805,333.00","1,805,333.00","1,805,333.00","1,805,333.00","1,805,333.08","1,805,333.08","1,805,333.08","1,805,333.00","1,805,333.08","1,805,333.08"
