"1","Financial Year","31-12-2018       4","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1"
"2","Sales/Revenue","366,348.00","353,446.00","351,093.00","353,521.00","364,961.00","354,594.00","267,245.00","312,604.00","304,707.00","282,374.00"
"3","Pretax Income","262,955.00","239,595.00","234,022.00","235,236.00","362,468.00","232,267.00","163,832.00","195,451.00","(44,715.00)","175,675.00"
"4","Net Income","79,848.00","70,056.00","67,039.00","67,737.00","151,671.00","63,168.00","29,489.00","44,223.00","(144,385.00)","37,058.00"
"5","Cash & Short-Term Investments","735,724.00","758,188.00","851,501.00","1,043,540.00","883,908.00","854,035.00","842,059.00","847,324.00","871,658.00","844,806.00"
"6","Cash Only","735,724.00","758,188.00","851,501.00","1,043,540.00","883,908.00","854,035.00","842,059.00","847,324.00","871,658.00","844,806.00"
"7","Total Accounts Receivables","61,301.00","63,457.00","61,718.00","49,191.00","54,455.00","65,852.00","67,344.00","85,374.00","86,918.00","85,850.00"
"8","Inventories","1,613.00","1,624.00","1,718.00","1,656.00","1,810.00","1,697.00","1,642.00","1,517.00","1,411.00","1,361.00"
"9","Net Property, Plant & Equipment","673,620.00","671,279.00","669,540.00","669,194.00","671,690.00","677,261.00","666,746.00","658,476.00","647,739.00","638,416.00"
"10","Short Term Debt","427,548.00","450,942.00","27,610.00","49,502.00","29,210.00","50,959.00","429,851.00","452,559.00","430,171.00","451,868.00"
"11","Long Term Debt","1,817,166.00","1,817,828.00","2,309,666.00","2,309,666.00","2,317,386.00","2,316,391.00","1,908,076.00","1,908,399.00","1,919,273.00","1,925,761.00"
"12","Net Operating Cash Flow","238,946.00","258,446.00","249,500.00","256,633.00","275,932.00","215,381.00","198,583.00","176,726.00","217,762.00","133,301.00"
"13","Capital Expenditures","(10,138.00)","(5,551.00)","(8,801.00)","(11,096.00)","(14,238.00)","(5,028.00)","(6,286.00)","265.00","(1,545.00)","(2,302.00)"
"14","Total Shares Outstanding (million)","1,805,333.00","1,805,333.08","1,805,333.08","1,805,333.08","1,805,333.00","1,805,333.08","1,805,333.08","1,805,333.08","1,805,333.08","1,805,333.08"
