"1","Financial Year","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM","","",""
"2","Sales/Revenue","186,204.00","283,847.72","340,650.25","400,079.48","381,523.42","381,360.06","322,574.06","","",""
"3","Pretax Income","73,496.00","96,443.09","111,083.20","91,413.66","110,079.04","102,722.40","68,348.40","","",""
"4","Net Income","55,563.00","71,295.41","80,936.73","68,351.72","76,012.14","72,568.28","43,201.28","","",""
"5","Cash & Short-Term Investments","30,133.00","144,633.14","191,423.14","94,946.58","136,777.50","218,752.47","252,636.62","","",""
"6","Cash Only","19,749.00","36,217.68","104,295.89","18,271.60","28,678.48","112,053.10","-","","",""
"7","Total Accounts Receivables","111,038.00","104,159.69","141,265.74","149,112.76","132,794.03","464,347.61","551,334.01","","",""
"8","Inventories","172,854.00","365,055.45","389,255.74","435,551.15","642,116.41","740,436.89","766,214.97","","",""
"9","Net Property, Plant & Equipment","4,327.00","4,465.41","4,510.32","11,295.22","12,114.73","12,038.52","11,782.13","","",""
"10","Accrued Payable","-","-","-","-","-","-","291,639.18","","",""
"11","Short Term Debt","29,497.00","21,497.87","54,712.76","104,738.20","110,462.92","147,961.61","117,556.40","","",""
"12","Long Term Debt","44,228.00","104,998.19","103,778.89","101,111.47","281,348.62","398,372.02","400,300.76","","",""
"13","Net Operating Cash Flow","(11,135.00)","(27,784.02)","159,867.75","(66,371.91)","33,761.92","(336,493.64)","171,067.36","","",""
"14","Capital Expenditures","(52.00)","(226.17)","(350.95)","(7,266.74)","(102.04)","(677.05)","(274.05)","","",""
"15","Total Shares Outstanding (million)","516,589.99","680,000.00","706,622.67","713,702.40","819,999.87","1,344,187.61","1,300,186.91","713,702.40","483,964.20","483,964.20"
