"1","Financial Year","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM"
"2","Sales/Revenue","88,873.00","83,084.00","86,891.64","97,966.68","116,203.98","127,667.61","127,604.61"
"3","Pretax Income","26,956.00","20,061.00","18,919.75","17,778.13","7,863.88","10,111.75","(1,565.25)"
"4","Net Income","20,091.00","14,493.00","14,043.82","12,571.63","5,422.75","6,964.13","7,600.13"
"5","Cash & Short-Term Investments","5,131.00","16,829.00","20,966.25","14,526.92","6,821.27","11,006.82","11,135.00"
"6","Cash Only","5,131.00","16,829.00","20,966.25","14,526.92","6,821.27","11,006.82","11,135.00"
"7","Total Accounts Receivables","1,432.00","2,922.00","6,964.10","8,737.98","17,206.04","11,619.22","24,668.00"
"8","Inventories","1,532.00","1,318.00","1,695.83","2,916.83","3,498.76","2,559.45","2,915.00"
"9","Net Property, Plant & Equipment","63,440.00","77,197.00","125,665.30","198,711.61","173,730.98","224,732.24","211,516.00"
"10","Short Term Debt","1,349.00","1,690.00","2,069.35","9,943.82","26,352.57","30,424.73","31,201.00"
"11","Long Term Debt","24,170.00","25,083.00","24,855.80","46,789.82","66,298.27","90,518.64","77,208.00"
"12","Net Operating Cash Flow","19,763.00","12,677.00","15,689.16","28,411.23","34,953.99","26,611.81","28,483.81"
"13","Capital Expenditures","(5,969.00)","(19,202.00)","(54,332.15)","(75,414.79)","(63,089.09)","(66,698.34)","(7,640.34)"
"14","Total Shares Outstanding (million)","154,309.00","154,309.00","222,000.00","233,999.99","242,884.99","267,100.00","295,100.00"
"15","Financial Year","31-12-2016       2","31-03-2017       3","30-06-2017       4","30-09-2017       1","31-12-2017       2","31-03-2018       3","30-06-2018       4"
"16","Pretax Income","4,216.04","453.93","298.77","2,459.53","3,348.00","1,536.00","2,767.75"
"16","Sales/Revenue","33,193.65","31,512.95","23,031.74","30,141.39","32,109.00","33,464.00","31,953.61"
"17","Net Income","2,705.84","1,121.64","271.14","2,170.90","2,552.00","1,326.00","915.13"
"18","Cash & Short-Term Investments","6,687.82","6,839.16","7,637.46","3,940.20","6,926.00","7,610.00","11,006.82"
"19","Cash Only","6,687.82","6,839.16","7,637.46","3,940.20","6,926.00","7,610.00","11,006.82"
"20","Total Accounts Receivables","31,623.36","31,746.76","28,292.49","28,514.19","34,305.00","34,883.00","20,352.67"
"21","Inventories","3,017.30","3,391.28","3,498.76","3,244.91","3,349.00","4,076.00","2,559.45"
"22","Net Property, Plant & Equipment","245,338.77","258,808.50","169,837.27","179,973.17","220,361.00","226,179.00","225,987.26"
"23","Short Term Debt","14,494.48","20,367.25","25,141.85","29,424.28","40,059.00","37,968.00","30,424.73"
"24","Long Term Debt","60,238.28","61,953.09","66,888.17","68,682.26","73,103.00","92,632.00","90,518.64"
"25","Net Operating Cash Flow","1,573.34","12,234.39","24,796.42","(11,578.38)","33,693.38","(15,896.00)","20,392.81"
"26","Capital Expenditures","(26,904.45)","(18,992.61)","4,639.72","(8,992.52)","(44,462.48)","(10,579.00)","(2,664.34)"
"27","Total Shares Outstanding (million)","226,500.00","238,072.00","240,294.00","257,500.00","257,500.00","267,100.00","267,100.00"
