"1","Financial Year","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM","","",""
"2","Sales/Revenue","-","-","69,441.35","44,136.22","10,641.27","13,353.49","13,586.49","","",""
"3","Pretax Income","(164.00)","(493.00)","5,083.95","(4,519.00)","(57,940.98)","(4,389.83)","(879.83)","","",""
"4","Net Income","(164.00)","(493.00)","2,859.61","(4,626.10)","(57,139.39)","(4,230.34)","(838.34)","","",""
"5","Cash & Short-Term Investments","1.00","283.00","25,260.58","16,817.42","9,385.76","6,785.19","6,905.05","","",""
"6","Cash Only","1.00","283.00","3,068.01","5,583.37","4,233.27","1,187.91","1,451.23","","",""
"7","Total Accounts Receivables","1,242.00","1,314.00","98,878.40","76,979.24","16,470.92","10,286.14","9,600.53","","",""
"8","Inventories","-","-","562.76","794.36","356.81","1,746.57","624.14","","",""
"9","Net Property, Plant & Equipment","-","-","18,327.87","24,072.49","43,380.54","54,013.36","54,789.09","","",""
"10","Accrued Payable","-","-","26,111.11","17,837.81","23,680.54","23,628.72","-","","",""
"11","Short Term Debt","-","-","31,820.14","30,247.00","22,270.49","8,899.50","11,809.63","","",""
"12","Long Term Debt","-","-","4,357.38","13,646.45","10,632.65","34,949.25","29,960.81","","",""
"13","Net Operating Cash Flow","(170.00)","(146.00)","(7,632.84)","3,608.98","12,116.85","(597.01)","(5,360.01)","","",""
"14","Capital Expenditures","-","-","(602.15)","(4,510.40)","(20,656.30)","(15,093.33)","(6,521.33)","","",""
"15","Total Shares Outstanding (million)","222,000.01","222,000.01","222,000.01","222,000.01","244,200.01","244,200.01","244,200.00","222,000.01","293,704.22","293,704.22"
