"1","Financial Year","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","30-06-2019       TTM","","","",""
"2","Sales/Revenue","293,505.00","268,656.00","242,567.00","303,166.00","308,193.00","243,448.00","","","",""
"3","Pretax Income","28,835.00","32,765.00","15,159.00","9,695.00","(36,226.00)","(124,933.00)","","","",""
"4","Net Income","21,545.00","25,157.00","11,282.00","6,929.00","(28,961.00)","(113,941.00)","","","",""
"5","Cash & Short-Term Investments","45,060.00","35,705.00","23,588.00","30,382.00","37,852.00","37,772.50","","","",""
"6","Cash Only","-","6,056.00","430.00","2,231.00","999.00","-","","","",""
"7","Total Accounts Receivables","178,272.00","223,145.00","317,829.00","400,568.00","296,213.00","302,307.75","","","",""
"8","Inventories","245.00","449.00","404.00","232.00","866.00","516.25","","","",""
"9","Net Property, Plant & Equipment","116,286.00","102,167.00","100,813.00","99,139.00","93,200.00","89,724.25","","","",""
"10","Accrued Payable","102,480.00","-","-","-","-","213,426.75","","","",""
"11","Short Term Debt","45,317.00","61,116.00","78,631.00","94,885.00","68,074.00","74,242.50","","","",""
"12","Long Term Debt","19,880.00","15,354.00","20,012.00","25,502.00","22,656.00","17,376.00","","","",""
"13","Net Operating Cash Flow","11,055.00","(25,418.00)","(16,147.00)","(7,808.00)","42,999.00","43,722.00","","","",""
"14","Capital Expenditures","(4,167.00)","(27,130.00)","(9,195.00)","(795.00)","(1,233.00)","6,480.00","","","",""
"15","Total Shares Outstanding (million)","520,000.00","520,000.00","520,000.00","530,350.00","545,350.00","-","520,000.00","486,355.29","",""
