"1","Financial Year","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM"
"2","Sales/Revenue","126,293.00","122,166.00","112,668.00","124,660.00"
"3","Pretax Income","19,270.00","19,617.00","12,937.00","21,397.00"
"4","Net Income","14,531.00","14,679.00","10,217.00","16,264.00"
"5","Cash & Short-Term Investments","87,604.00","92,691.00","85,966.00","94,005.00"
"6","Cash Only","24,405.00","-","-","94,005.00"
"7","Total Accounts Receivables","24,453.00","23,128.00","20,944.00","25,060.00"
"8","Inventories","19,832.00","16,670.00","18,887.00","19,717.00"
"9","Net Property, Plant & Equipment","50,270.00","50,872.00","52,874.00","51,008.00"
"10","Accrued Payable","16,343.00","15,358.00","19,428.00","17,314.00"
"11","Long Term Debt","-","-","-","-"
"12","Net Operating Cash Flow","22,560.00","14,641.00","16,660.00","13,869.00"
"13","Capital Expenditures","(3,063.00)","(4,722.00)","(6,243.00)","(2,535.00)"
"14","Total Shares Outstanding (million)","188,000.00","187,653.00","183,676.70","183,676.70"
"15","Financial Year","31-12-2016       2","31-03-2017       3","30-06-2017       4","30-09-2017       1"
"16","Pretax Income","6,747.00","2,705.00","4,575.00","3,532.00"
"16","Sales/Revenue","33,846.00","25,276.00","31,771.00","26,664.00"
"17","Net Income","5,195.00","2,312.00","2,744.00","2,792.00"
"18","Cash & Short-Term Investments","92,585.00","89,714.00","92,691.00","97,831.00"
"19","Cash Only","13,604.00","25,817.00","92,691.00","12,057.00"
"20","Total Accounts Receivables","23,331.00","18,016.00","23,128.00","20,017.00"
"21","Inventories","21,786.00","22,955.00","16,670.00","18,079.00"
"22","Net Property, Plant & Equipment","50,754.00","50,164.00","50,872.00","51,704.00"
"23","Accrued Payable","3,387.00","1,740.00","15,358.00","-"
"24","Long Term Debt","-","-","-","-"
"25","Net Operating Cash Flow","7,125.00","822.00","4,659.00","7,092.00"
"26","Capital Expenditures","(1,045.00)","(460.00)","(1,753.00)","(1,866.00)"
"27","Total Shares Outstanding (million)","188,000.00","188,000.00","187,653.00","187,110.10"
