"1","Financial Year","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","1,014,596.76","1,046,108.15","1,220,415.62","1,219,418.15","1,199,151.60","1,058,833.85","1,015,409.79","1,105,417.04","1,082,773.04"
"3","Pretax Income","27,076.97","41,197.37","37,321.56","43,215.18","38,979.25","51,170.29","39,458.05","33,748.69","33,518.69"
"4","Net Income","19,121.11","34,593.99","29,451.78","30,186.01","30,220.89","41,425.65","29,747.40","22,946.25","23,609.25"
"5","Cash & Short-Term Investments","74,856.01","63,034.74","90,662.74","148,007.25","180,170.88","75,098.95","50,010.90","52,747.86","40,035.00"
"6","Cash Only","35,756.17","18,830.41","36,326.77","118,029.97","168,855.40","73,502.11","49,991.81","52,728.66","40,016.00"
"7","Total Accounts Receivables","293,083.49","342,176.94","363,170.40","307,034.67","311,176.99","320,137.57","325,808.65","376,741.05","356,167.00"
"8","Inventories","14,688.69","17,479.06","38,662.42","44,153.90","44,819.09","52,795.59","71,560.73","88,469.32","93,960.00"
"9","Net Property, Plant & Equipment","68,102.20","145,489.90","205,461.04","187,069.87","200,758.74","293,702.71","381,198.18","469,655.73","475,977.00"
"10","Short Term Debt","239,809.28","313,009.83","375,687.16","333,528.22","327,919.85","287,683.40","317,523.99","425,857.31","416,836.00"
"11","Long Term Debt","18,475.30","35,580.44","58,500.29","58,780.62","81,098.36","37,920.57","67,482.39","95,548.75","92,155.00"
"12","Net Operating Cash Flow","(31,516.78)","13,292.86","7,787.36","95,140.22","39,575.03","6,018.15","38,937.30","(68,832.50)","(32,368.50)"
"13","Capital Expenditures","(14,199.20)","(57,807.15)","(62,390.61)","(12,356.47)","(19,497.83)","(63,769.27)","(73,331.55)","(56,100.69)","(43,257.69)"
"14","Total Shares Outstanding (million)","442,690.00","442,690.00","442,690.00","442,690.00","442,690.00","505,888.00","556,388.00","550,068.00","550,068.00"
"16","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4"
"17","Sales/Revenue","264,002.85","261,560.00","237,273.00","260,899.00","255,677.79","265,324.00","284,309.00","278,707.00","277,077.04"
"18","Pretax Income","21,864.29","10,781.00","8,989.00","8,688.00","11,000.05","5,723.00","7,148.00","8,230.00","12,647.69"
"19","Net Income","19,553.65","8,053.00","7,035.00","6,011.00","8,648.40","3,776.00","4,547.00","6,399.00","8,224.25"
"20","Cash & Short-Term Investments","75,098.95","82,998.00","59,903.00","33,412.00","50,010.90","50,915.00","20,508.00","29,377.00","52,747.86"
"21","Cash Only","73,502.11","82,983.00","59,888.00","33,397.00","49,991.81","50,896.00","20,489.00","29,358.00","52,728.66"
"22","Total Accounts Receivables","327,481.26","355,484.00","317,120.00","341,142.00","335,732.26","356,690.00","418,305.00","425,476.00","386,847.85"
"23","Inventories","52,795.59","58,755.00","65,764.00","68,123.00","71,560.73","89,227.00","85,496.00","88,007.00","88,469.32"
"24","Net Property, Plant & Equipment","293,702.71","316,074.00","321,470.00","351,040.00","381,198.18","402,021.00","404,213.00","409,031.00","469,655.73"
"25","Short Term Debt","287,683.40","366,432.00","346,832.00","317,700.00","317,523.99","356,452.00","377,256.00","397,557.00","425,857.31"
"26","Long Term Debt","37,920.57","37,723.00","32,518.00","28,752.00","67,482.39","77,521.00","97,876.00","95,884.00","95,548.75"
"27","Net Operating Cash Flow","(22,445.85)","(12,834.00)","21,830.00","(480.00)","30,421.30","(23,202.00)","(67,747.00)","3,280.00","18,836.50"
"28","Capital Expenditures","(32,006.27)","(23,644.00)","(11,206.00)","(33,991.00)","(4,490.55)","(26,038.00)","(12,457.00)","(10,318.00)","(7,287.69)"
"29","Total Shares Outstanding (million)","505,888.00","505,888.00","505,888.00","556,388.00","556,388.00","556,388.00","553,298.70","550,068.00","550,068.00"
