"1","Financial Year","30-06-2017","30-06-2018","31-03-2019       TTM"
"2","Sales/Revenue","26,350.00","62,773.00","62,987.00"
"3","Pretax Income","14,660.00","37,610.00","34,921.00"
"4","Net Income","14,660.00","37,610.00","34,921.00"
"5","Cash & Short-Term Investments","24,972.00","23,965.00","13,656.00"
"6","Cash Only","13,695.00","15,532.00","12,384.00"
"7","Total Accounts Receivables","7,618.00","5,396.00","15,129.00"
"8","Net Property, Plant & Equipment","323.00","1,742.00","1,144.00"
"9","Accrued Payable","11,633.00","6,021.00","15,489.00"
"10","Short Term Debt","616.00","462.00","6,787.00"
"11","Long Term Debt","86,170.00","86,513.00","93,343.00"
"12","Net Operating Cash Flow","30,134.00","40,917.00","27,196.00"
"13","Capital Expenditures","(343.00)","(1,513.00)","(1,299.00)"
"14","Total Shares Outstanding (million)","505,300.00","505,300.00","505,300.00"
"15","Financial Year","31-12-2016       2","31-03-2017       3","30-06-2017       4"
"16","Net Income","8,210.00","5,526.00","9,134.00"
"16","Sales/Revenue","15,801.00","8,684.00","16,043.00"
"17","Cash & Short-Term Investments","33,938.00","21,055.00","24,972.00"
"17","Pretax Income","8,210.00","5,526.00","9,134.00"
"18","Cash Only","18,168.00","1,742.00","13,695.00"
"19","Total Accounts Receivables","-","6,579.00","8,213.00"
"20","Net Property, Plant & Equipment","291.00","265.00","323.00"
"21","Accrued Payable","-","19,178.00","10,829.00"
"22","Short Term Debt","-","-","-"
"23","Long Term Debt","85,900.00","87,657.00","87,000.00"
"24","Net Operating Cash Flow","919.00","18,362.00","10,853.00"
"25","Capital Expenditures","-","-","(343.00)"
"26","Total Shares Outstanding (million)","505,300.00","505,300.00","505,300.00"
