"1","Financial Year","30-06-2017","30-06-2018","31-03-2019       TTM","","","","","","",""
"2","Sales/Revenue","26,350.00","62,773.00","62,987.00","","","","","","",""
"3","Pretax Income","14,660.00","37,610.00","34,921.00","","","","","","",""
"4","Net Income","14,660.00","37,610.00","34,921.00","","","","","","",""
"5","Cash & Short-Term Investments","24,972.00","23,965.00","13,656.00","","","","","","",""
"6","Cash Only","13,695.00","15,532.00","12,384.00","","","","","","",""
"7","Total Accounts Receivables","7,618.00","5,396.00","15,129.00","","","","","","",""
"8","Net Property, Plant & Equipment","323.00","1,742.00","1,144.00","","","","","","",""
"9","Accrued Payable","11,633.00","6,021.00","15,489.00","","","","","","",""
"10","Short Term Debt","616.00","462.00","6,787.00","","","","","","",""
"11","Long Term Debt","86,170.00","86,513.00","93,343.00","","","","","","",""
"12","Net Operating Cash Flow","30,134.00","40,917.00","27,196.00","","","","","","",""
"13","Capital Expenditures","(343.00)","(1,513.00)","(1,299.00)","","","","","","",""
"14","Total Shares Outstanding (million)","505,300.00","505,300.00","505,300.00","505,300.00","686,401.60","","","","",""
