"1","Financial Year","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1"
"2","Sales/Revenue","59,149.83","82,186.90","60,901.61","63,750.24","61,761.34","73,734.30","65,780.04","71,584.79","72,331.80"
"3","Pretax Income","9,212.72","10,313.18","4,668.15","2,541.22","3,689.54","5,282.11","2,224.65","4,229.10","2,941.17"
"4","Net Income","6,852.23","7,494.93","3,312.54","803.39","2,532.37","3,663.35","1,536.32","2,886.10","2,024.57"
"5","Cash & Short-Term Investments","44,350.01","28,943.68","60,237.79","49,589.38","47,820.14","42,101.71","63,068.33","45,431.32","52,256.12"
"6","Cash Only","24,663.57","7,420.75","21,305.31","24,581.37","21,205.14","12,681.41","29,100.40","7,708.89","12,777.47"
"7","Total Accounts Receivables","101,435.99","120,081.12","112,928.13","132,945.18","150,094.74","170,391.82","152,898.37","172,545.38","159,006.98"
"8","Net Property, Plant & Equipment","106,365.49","127,127.66","132,205.60","151,367.89","158,854.17","167,645.21","168,621.39","151,196.76","146,104.14"
"9","Accrued Payable","-","-","14,332.02","-","-","-","-","-","-"
"10","Short Term Debt","-","-","30,284.28","43,457.68","54,571.00","60,135.84","59,691.62","55,631.99","51,015.88"
"11","Long Term Debt","42,994.93","45,191.85","65,452.21","64,746.15","64,113.14","75,816.34","74,933.18","78,790.42","77,053.00"
"12","Net Operating Cash Flow","40,407.44","13,297.26","(30,325.93)","(3,064.12)","1,183.26","(8,325.78)","28,709.61","(18,200.46)","17,905.75"
"13","Capital Expenditures","(5,513.25)","(27,219.40)","(12,851.53)","27,684.18","(13,839.49)","(15,636.16)","(8,898.78)","22,352.39","(1,243.41)"
"14","Total Shares Outstanding (million)","402,079.00","402,079.00","402,079.00","402,079.00","402,079.00","402,079.00","402,079.00","400,918.00","401,048.00"
