"1","Financial Year","31-01-2017       1","30-04-2017       2","31-07-2017       3","31-10-2017       4","31-01-2018       1","30-04-2018       2","31-07-2018       3","31-10-2018       4","31-01-2019       1"
"2","Sales/Revenue","327.00","37.00","97.00","27.00","18.00","-","-","4,886.00","-"
"3","Pretax Income","(5,480.00)","(23,838.00)","(22,232.00)","(35,701.00)","(18,755.00)","(29,983.00)","7,829.00","69,928.00","24,119.00"
"4","Net Income","(6,062.00)","(24,817.00)","(24,197.00)","(32,557.00)","(16,205.00)","(29,076.00)","10,444.00","70,075.00","22,758.00"
"5","Cash & Short-Term Investments","41,927.00","1,264,732.00","1,146,831.00","992,388.00","795,919.00","460,840.00","294,898.00","436,960.00","283,402.00"
"6","Cash Only","41,927.00","1,264,732.00","1,146,831.00","992,388.00","795,919.00","460,840.00","294,898.00","436,960.00","283,402.00"
"7","Total Accounts Receivables","4,070.00","3,852.00","5,316.00","714.00","12,434.00","11,254.00","13,176.00","6,793.00","32,267.00"
"8","Inventories","188,503.00","190,445.00","227,785.00","366,717.00","369,007.00","367,868.00","412,639.00","461,836.00","624,804.00"
"9","Net Property, Plant & Equipment","2,678.00","4,751.00","6,387.00","7,169.00","7,660.00","7,074.00","6,846.00","6,366.00","5,859.00"
"10","Accrued Payable","-","-","33,126.00","16,067.00","16,559.00","14,626.00","23,791.00","43,473.00","42,196.00"
"11","Short Term Debt","1,079,790.00","48,695.00","-","79,913.00","77,386.00","-","106,894.00","230,686.00","229,089.00"
"12","Long Term Debt","-","-","51,168.00","48,684.00","47,145.00","253,510.00","255,035.00","605,574.00","736,392.00"
"13","Net Operating Cash Flow","(16,285.00)","(8,738.00)","(21,424.00)","(43,991.00)","(37,138.00)","(36,512.00)","(51,948.00)","(60,383.00)","(171,723.00)"
"14","Capital Expenditures","(735.00)","(2,460.00)","(2,668.00)","(481.00)","(1,115.00)","(100.00)","(363.00)","147.00","(27.00)"
"15","Total Shares Outstanding (million)","246,541.00","2,400,000.00","2,400,000.00","2,400,000.00","2,400,000.00","2,400,000.00","2,400,000.00","2,400,000.00","2,400,000.00"
"16","Financial Year","31-10-2015","31-10-2016","31-10-2017","31-10-2018","31-01-2019       TTM","","","",""
"16","Pretax Income","(101,455.00)","(236,936.00)","(87,251.00)","29,019.00","71,893.00","","","",""
"17","Net Income","(99,264.00)","(238,326.00)","(87,633.00)","35,238.00","74,201.00","","","",""
"17","Sales/Revenue","7,454.00","970.00","488.00","4,904.00","4,886.00","","","",""
"18","Cash & Short-Term Investments","27,373.00","18,573.00","992,388.00","436,960.00","283,402.00","","","",""
"19","Cash Only","27,373.00","14,631.00","30,183.00","33,184.00","283,402.00","","","",""
"20","Total Accounts Receivables","15,040.00","2,471.00","3,577.00","11,222.00","32,267.00","","","",""
"21","Inventories","156,053.00","174,040.00","366,717.00","461,836.00","624,804.00","","","",""
"22","Net Property, Plant & Equipment","2,551.00","2,299.00","7,169.00","6,366.00","5,859.00","","","",""
"23","Accrued Payable","-","-","-","-","42,196.00","","","",""
"24","Short Term Debt","824,398.00","1,055,552.00","79,913.00","230,686.00","229,089.00","","","",""
"25","Long Term Debt","45,800.00","-","48,684.00","605,574.00","736,392.00","","","",""
"26","Net Operating Cash Flow","(86,270.00)","(51,602.00)","(90,438.00)","(185,981.00)","(320,566.00)","","","",""
"27","Capital Expenditures","(3,146.00)","(719.00)","(6,344.00)","(1,431.00)","(343.00)","","","",""
"28","Total Shares Outstanding (million)","246,541.00","246,541.00","2,400,000.00","2,400,000.00","2,400,000.00","1,323,270.50","482,902.92","",""
