"1","Financial Year","30-09-2017       1","31-12-2017       2","31-03-2018       3","30-06-2018       4","30-09-2018       Other","31-12-2018       Other","31-03-2019       1"
"2","Sales/Revenue","3,541,000.00","4,085,000.00","3,659,000.00","3,084,000.00","3,039,000.00","3,504,000.00","3,006,000.00"
"3","Pretax Income","1,239,000.00","637,000.00","352,000.00","149,000.00","212,000.00","245,000.00","125,000.00"
"4","Net Income","1,051,000.00","460,000.00","279,000.00","61,000.00","147,000.00","159,000.00","105,000.00"
"5","Cash & Short-Term Investments","1,218,000.00","674,000.00","686,000.00","363,238.00","460,000.00","491,042.00","470,000.00"
"6","Cash Only","1,218,000.00","674,000.00","686,000.00","363,238.00","460,000.00","491,042.00","470,000.00"
"7","Total Accounts Receivables","2,776,000.00","3,401,000.00","2,438,000.00","2,611,466.00","2,537,000.00","2,507,756.00","2,241,000.00"
"8","Inventories","1,860,000.00","1,907,000.00","1,916,000.00","1,570,577.00","1,983,000.00","1,681,776.00","1,749,000.00"
"9","Net Property, Plant & Equipment","18,247,000.00","17,935,000.00","17,492,000.00","17,742,040.00","18,985,000.00","19,243,285.00","19,351,000.00"
"10","Accrued Payable","1,924,000.00","2,277,000.00","1,630,000.00","1,588,102.00","1,772,000.00","1,466,545.00","1,357,000.00"
"11","Short Term Debt","1,649,000.00","1,472,000.00","1,185,000.00","1,095,017.00","1,668,000.00","1,831,461.00","2,346,000.00"
"12","Long Term Debt","6,116,000.00","5,756,000.00","5,280,000.00","5,407,806.00","5,679,000.00","5,658,008.00","5,307,000.00"
"13","Net Operating Cash Flow","541,000.00","636,000.00","1,191,000.00","(52,644.00)","(783,000.00)","(1,521,238.00)","594,000.00"
"14","Capital Expenditures","(327,000.00)","(336,000.00)","(681,000.00)","(156,801.00)","226,000.00","543,432.00","(458,000.00)"
"15","Total Shares Outstanding (million)","6,801,178.87","6,808,542.57","6,801,000.00","6,800,839.00","6,800,839.38","6,800,839.38","6,884,575.28"
"16","Financial Year","30-06-2015","30-06-2016","30-06-2017","31-12-2018","31-03-2019       TTM","",""
"16","Pretax Income","1,315,923.00","839,039.00","4,030,963.00","457,047.00","731,000.00","",""
"17","Net Income","997,113.00","967,179.00","3,509,823.00","306,169.00","472,000.00","",""
"17","Sales/Revenue","10,304,041.00","11,946,464.00","14,779,381.00","6,542,548.00","12,633,000.00","",""
"18","Cash & Short-Term Investments","1,116,622.00","650,045.00","1,039,093.00","491,042.00","470,000.00","",""
"19","Cash Only","557,368.00","465,336.00","545,764.00","427,614.00","470,000.00","",""
"20","Total Accounts Receivables","2,258,679.00","2,092,955.00","2,313,769.00","2,272,205.00","2,241,000.00","",""
"21","Inventories","1,515,545.00","1,627,572.00","1,720,807.00","1,860,559.00","1,749,000.00","",""
"22","Net Property, Plant & Equipment","17,145,714.00","18,047,160.00","18,339,595.00","19,243,285.00","19,351,000.00","",""
"23","Accrued Payable","-","-","-","-","1,357,000.00","",""
"24","Short Term Debt","8,700,107.00","976,871.00","2,620,386.00","1,831,461.00","2,346,000.00","",""
"25","Long Term Debt","4,431,238.00","12,151,451.00","6,462,552.00","5,658,008.00","5,307,000.00","",""
"26","Net Operating Cash Flow","1,972,970.00","1,796,943.00","3,292,057.00","846,762.00","(1,762,882.00)","",""
"27","Capital Expenditures","(1,157,408.00)","(1,334,945.00)","(1,609,364.00)","(800,568.00)","154,631.00","",""
"28","Total Shares Outstanding (million)","6,801,178.87","6,801,178.87","6,801,178.87","6,800,839.38","6,884,575.28","6,801,178.87","420,945.39"
