"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019       TTM","","",""
"2","Sales/Revenue","105,143.87","57,089.91","173,321.98","160,392.05","191,135.00","","",""
"3","Pretax Income","35,287.89","16,357.74","60,781.27","44,480.52","59,537.00","","",""
"4","Net Income","40,906.98","16,077.51","59,304.41","44,349.00","59,166.00","","",""
"5","Cash & Short-Term Investments","66,483.17","46,438.37","52,633.61","203,405.01","167,711.75","","",""
"6","Cash Only","66,483.17","46,438.37","52,633.61","19,799.12","52,080.50","","",""
"7","Total Accounts Receivables","9,740.83","13,272.18","39,308.18","71,907.57","86,702.75","","",""
"8","Inventories","16,936.24","22,656.66","36,433.92","43,354.25","43,956.25","","",""
"9","Net Property, Plant & Equipment","4,190.33","4,060.39","26,957.08","57,590.75","99,379.25","","",""
"10","Accrued Payable","-","-","-","-","37,064.00","","",""
"11","Short Term Debt","17,168.00","-","-","2,382.74","2,501.25","","",""
"12","Long Term Debt","-","-","-","4,369.95","2,673.25","","",""
"13","Net Operating Cash Flow","49,296.07","9,160.89","41,110.36","11,568.63","32,794.00","","",""
"14","Capital Expenditures","(1,710.64)","(1,377.03)","(31,413.58)","(33,327.84)","(64,196.00)","","",""
"15","Total Shares Outstanding (million)","365,572.00","365,572.00","365,572.00","500,000.00","745,996.25","365,572.00","469,455.49","469,455.49"
