"1","Financial Year","30-09-2018       1","31-12-2018       2","31-03-2019       3"
"2","Sales/Revenue","23,221.00","20,879.00","17,117.00"
"3","Pretax Income","5,059.00","712.00","1,394.00"
"4","Net Income","3,883.00","58.00","1,039.00"
"5","Cash & Short-Term Investments","26,761.00","67,502.00","65,403.00"
"6","Cash Only","13,357.00","45,625.00","49,776.00"
"7","Total Accounts Receivables","21,605.00","18,838.00","17,105.00"
"8","Inventories","24,298.00","27,075.00","26,342.00"
"9","Net Property, Plant & Equipment","17,289.00","17,643.00","18,142.00"
"10","Long Term Debt","-","-","-"
"11","Net Operating Cash Flow","(309.00)","3,553.00","(727.00)"
"12","Capital Expenditures","(662.00)","(649.00)","(883.00)"
"13","Total Shares Outstanding (million)","230,000.00","230,000.00","230,000.00"
"14","Financial Year","30-06-2015","30-06-2016","30-06-2017"
"15","Sales/Revenue","63,626.80","75,861.84","82,363.85"
"16","Net Property, Plant & Equipment","17,591.35","16,723.03","16,133.99"
"16","Pretax Income","12,640.51","15,517.36","18,996.58"
"17","Net Income","9,478.96","11,688.45","14,552.63"
"17","Short Term Debt","447.52","461.41","475.25"
"18","Cash & Short-Term Investments","8,790.56","13,140.06","18,624.48"
"18","Long Term Debt","1,138.61","682.80","206.38"
"19","Cash Only","6,616.88","11,637.39","12,263.18"
"19","Net Operating Cash Flow","3,667.29","9,303.36","11,391.82"
"20","Capital Expenditures","(1,968.99)","(211.89)","(530.36)"
"20","Total Accounts Receivables","14,273.16","15,254.11","16,601.15"
"21","Inventories","21,960.76","24,927.56","25,342.96"
"21","Total Shares Outstanding (million)","230,000.00","230,000.00","230,000.00"
